key,model,queries,logit_scale,query,loss
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,0,3.22298526763916
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,1,3.449709415435791
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,2,3.312490463256836
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,3,2.8655283451080322
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,4,2.6939783096313477
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,5,3.0913214683532715
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,6,3.0198071002960205
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,7,3.0026133060455322
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,8,2.8295235633850098
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,9,3.047318458557129
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,10,3.1745598316192627
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,11,3.2782232761383057
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,12,3.10996150970459
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,13,3.655163526535034
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,14,3.4428772926330566
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,15,3.321855306625366
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,16,3.8363406658172607
gpt2-medium/indist,gpt2-medium,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,17,3.6973659992218018
