run_id,n_docs,retrain_gpu_h,cost_source,n_bank_retrains,n_qld_campaigns,n_qld_retrains,lds_gpu_h,magic_gpu_h,ekfac_gpu_h,qld_gpu_h,total_gpu_h,figures
plan_adam_eps1e17_512k_bs256,512000,9.87,mod,0,5,96,0.0,0.0,50.9,947.5,1008.3,filter_muon_appendix.png filter_scaling.png heldout_in_vs_out_partial.png
plan_adam_eps1e17_256k_bs256,256000,4.935,mod,0,5,115,0.0,0.0,39.5,567.5,612.0,filter_muon_appendix.png filter_scaling.png heldout_in_vs_out_partial.png
qwen15b_256k_bs256,256000,14.322,mod,0,0,0,0.0,0.0,410.7,0,425.0,
qwen15b_128k_bs256,128000,7.161,mod,0,0,0,0.0,0.0,394.4,0,401.6,
qwen15b_64k_bs256,64000,3.58,mod,0,0,0,0.0,0.0,391.0,0,394.6,
plan_adam_eps1e17_128k_bs256,128000,2.468,mod,0,7,147,0.0,0.0,24.2,362.7,389.4,filter_muon_appendix.png filter_scaling.png heldout_in_vs_out_partial.png
plan_adam_eps1e17_64k_bs256,64000,1.049,meas,4,8,184,5.2,164.2,6.8,193.1,370.4,filter_method_appendix.png filter_muon_appendix.png filter_scaling.png filter_vs_lds.png heldout_in_vs_out_partial.png
plan_adam_eps1e17_32k_bs256,32000,0.621,meas,100,8,160,62.8,87.1,4.5,99.4,254.4,filter_method_appendix.png filter_muon_appendix.png filter_scaling.png filter_vs_lds.png heldout_in_vs_out_partial.png
qwen15b_16k_bs256,16000,0.895,mod,0,2,46,0.0,0.0,196.4,41.2,238.5,qwen15b_heldout_trend.png
plan_muon_eps1e17_32k_bs256,32000,0.645,meas,100,2,40,65.1,90.6,8.8,25.8,190.9,filter_muon_appendix.png filter_vs_lds.png
qwen15b_32k_bs256,32000,1.79,mod,0,2,46,0.0,0.0,68.0,82.4,152.1,qwen15b_heldout_trend.png
sm_adamw_eps1e17_16k_bs256,16000,0.3,meas,100,10,200,30.3,44.2,5.7,60.1,140.6,filter_method_appendix.png filter_muon_appendix.png filter_scaling.png filter_variants_appendix.png filter_vs_lds.png heldout_in_vs_out_partial.png
plan_adam_eps1e17_16k_ep4,16000,0.619,meas,100,2,40,62.5,43.6,2.5,24.8,134.0,filter_variants_appendix.png filter_vs_lds.png
plan_muon_eps1e17_64k_bs256,64000,1.219,meas,57,2,46,70.7,0.0,3.9,56.1,131.9,filter_muon_appendix.png
plan_muon_eps1e17_16k_bs32,16000,0.451,meas,100,2,40,45.6,61.0,0.8,18.1,125.9,filter_muon_appendix.png filter_vs_lds.png
plan_muon_eps1e17_16k_bs16,16000,0.49,meas,100,1,20,49.5,61.0,2.0,9.8,122.7,filter_muon_appendix.png filter_vs_lds.png
qwen15b_8k_bs256,8000,0.448,mod,0,2,46,0.0,0.0,100.0,20.6,121.0,qwen15b_heldout_trend.png
plan_adam_eps1e17_16k_gpt2-medium,16000,0.372,meas,100,2,40,37.5,52.3,3.1,14.9,108.1,filter_variants_appendix.png
plan_adam_eps1e17_16k_bs16,16000,0.316,meas,100,2,40,31.9,60.9,1.9,12.6,107.5,filter_muon_appendix.png filter_vs_lds.png
plan_adam_eps1e17_16k_bs32,16000,0.308,mod,100,2,40,31.2,61.0,0.0,12.3,104.8,filter_muon_appendix.png filter_vs_lds.png
plan_adam_eps1e17_16k_wd0.0,16000,0.389,meas,100,2,40,39.3,43.8,4.2,15.6,103.3,filter_variants_appendix.png filter_vs_lds.png
plan_adam_eps1e17_16k_clip1.0,16000,0.391,meas,100,2,40,39.5,43.2,3.0,15.6,101.8,filter_variants_appendix.png filter_vs_lds.png
plan_muon_eps1e17_16k_bs64,16000,0.387,meas,100,2,40,39.1,43.6,1.0,15.5,99.6,filter_muon_appendix.png filter_vs_lds.png
plan_adam_eps1e17_16k_wd0.1,16000,0.336,meas,100,2,40,33.9,43.4,4.3,13.4,95.4,filter_variants_appendix.png filter_vs_lds.png
plan_adam_eps1e17_16k_scale0.25,16000,0.319,meas,100,2,40,32.2,44.1,3.7,12.8,93.1,filter_variants_appendix.png
plan_muon_eps1e17_128k_bs256,128000,2.468,mod,0,1,23,0.0,0.0,33.5,56.8,92.7,filter_muon_appendix.png
plan_adam_eps1e17_16k_scale0.5,16000,0.318,meas,100,2,40,32.1,44.1,2.5,12.7,91.8,filter_variants_appendix.png
plan_adam_eps1e17_8k_bs256,8000,0.257,meas,100,8,160,25.9,21.8,2.6,41.1,91.7,filter_method_appendix.png filter_muon_appendix.png filter_scaling.png filter_vs_lds.png heldout_in_vs_out_partial.png
sm_muon_eps1e17_16k_bs256,16000,0.313,meas,100,2,40,31.6,42.5,1.7,12.5,88.6,filter_muon_appendix.png filter_vs_lds.png
plan_adam_eps1e17_16k_bs512,16000,0.308,mod,100,2,40,31.2,43.6,0.0,12.3,87.4,filter_muon_appendix.png filter_vs_lds.png
plan_adam_eps1e17_16k_bs64,16000,0.308,mod,100,2,40,31.2,43.6,0.0,12.3,87.4,filter_muon_appendix.png filter_vs_lds.png
plan_adam_eps1e17_128k_bs32,128000,2.838,meas,0,1,23,0.0,0.0,16.0,65.3,84.1,
plan_muon_eps1e17_16k_bs128,16000,0.247,meas,100,2,40,24.9,43.6,3.3,9.9,81.9,filter_muon_appendix.png filter_vs_lds.png
plan_muon_eps1e17_256k_bs256,256000,4.935,mod,0,1,9,0.0,0.0,26.0,44.4,75.3,filter_muon_appendix.png
qwen15b_4k_bs256,4000,0.224,mod,0,2,46,0.0,0.0,51.3,10.3,61.8,qwen15b_heldout_trend.png
