optimizer,scorer,n_train,model,n_docs,pred,obs,err,rmse_all_test
adamw,ekfac,3,mean3,32000,0.03121213912963867,0.053525137901306155,-0.022312998771667484,0.13527916662479092
adamw,ekfac,3,mean3,64000,0.03121213912963867,0.12307438850402833,-0.09186224937438965,0.13527916662479092
adamw,ekfac,3,mean3,128000,0.03121213912963867,0.21286834478378297,-0.1816562056541443,0.13527916662479092
adamw,ekfac,3,mean3,256000,0.03121213912963867,0.2080349087715149,-0.17682276964187624,0.13527916662479092
adamw,ekfac,3,scale-line,32000,0.07257100343704226,0.053525137901306155,0.019045865535736103,0.0640943746335576
adamw,ekfac,3,scale-line,64000,0.09325043559074397,0.12307438850402833,-0.02982395291328435,0.0640943746335576
adamw,ekfac,3,scale-line,128000,0.11392986774444575,0.21286834478378297,-0.09893847703933722,0.0640943746335576
adamw,ekfac,3,scale-line,256000,0.13460929989814752,0.2080349087715149,-0.07342560887336738,0.0640943746335576
adamw,ekfac,3,scale-power,32000,0.11983411167174073,0.053525137901306155,0.06630897377043457,0.5187040652488997
adamw,ekfac,3,scale-power,64000,0.25669000043052875,0.12307438850402833,0.13361561192650043,0.5187040652488997
adamw,ekfac,3,scale-power,128000,0.5498414049374816,0.21286834478378297,0.3369730601536986,0.5187040652488997
adamw,ekfac,3,scale-power,256000,1.1777847601252593,0.2080349087715149,0.9697498513537445,0.5187040652488997
adamw,ekfac,3,score-ols,32000,0.08979544278460236,0.053525137901306155,0.0362703048832962,0.0943519019706231
adamw,ekfac,3,score-ols,64000,0.0377375055312566,0.12307438850402833,-0.08533688297277173,0.0943519019706231
adamw,ekfac,3,score-ols,128000,0.09073537082358338,0.21286834478378297,-0.12213297396019959,0.0943519019706231
adamw,ekfac,3,score-ols,256000,0.0980588037227467,0.2080349087715149,-0.1099761050487682,0.0943519019706231
adamw,ekfac,3,score-origin,32000,0.021445213024067315,0.053525137901306155,-0.03207992487723884,0.1430607239739798
adamw,ekfac,3,score-origin,64000,0.028781309284925814,0.12307438850402833,-0.09429307921910252,0.1430607239739798
adamw,ekfac,3,score-origin,128000,0.021312756708353392,0.21286834478378297,-0.19155558807542958,0.1430607239739798
adamw,ekfac,3,score-origin,256000,0.020280725637918554,0.2080349087715149,-0.18775418313359635,0.1430607239739798
adamw,ekfac,3,perq-ols,32000,0.0201367514845543,0.053525137901306155,-0.033388386416751854,0.14395386241947142
adamw,ekfac,3,perq-ols,64000,0.029978494764858876,0.12307438850402833,-0.09309589373916945,0.14395386241947142
adamw,ekfac,3,perq-ols,128000,0.019959054653875194,0.21286834478378297,-0.19290929012990776,0.14395386241947142
adamw,ekfac,3,perq-ols,256000,0.01857453290124909,0.2080349087715149,-0.18946037587026582,0.14395386241947142
adamw,ekfac,3,perq-origin,32000,0.02451834893825616,0.053525137901306155,-0.029006788963049996,0.1402438292079663
adamw,ekfac,3,perq-origin,64000,0.0329057204120906,0.12307438850402833,-0.09016866809193773,0.1402438292079663
adamw,ekfac,3,perq-origin,128000,0.024366911404662763,0.21286834478378297,-0.1885014333791202,0.1402438292079663
adamw,ekfac,3,perq-origin,256000,0.02318698850664138,0.2080349087715149,-0.1848479202648735,0.1402438292079663
adamw,ekfac,4,mean3,64000,0.036790388822555545,0.12307438850402833,-0.08628399968147278,0.15030309465550587
adamw,ekfac,4,mean3,128000,0.036790388822555545,0.21286834478378297,-0.17607795596122744,0.15030309465550587
adamw,ekfac,4,mean3,256000,0.036790388822555545,0.2080349087715149,-0.17124451994895934,0.15030309465550587
adamw,ekfac,4,scale-line,64000,0.074204570055008,0.12307438850402833,-0.04886981844902033,0.09744140213515844
adamw,ekfac,4,scale-line,128000,0.08917024254798897,0.21286834478378297,-0.123698102235794,0.09744140213515844
adamw,ekfac,4,scale-line,256000,0.10413591504096989,0.2080349087715149,-0.10389899373054501,0.09744140213515844
adamw,ekfac,4,scale-power,64000,0.11465322752645275,0.12307438850402833,-0.008421160977575573,0.06832226766307234
adamw,ekfac,4,scale-power,128000,0.19284481871322884,0.21286834478378297,-0.020023526070554132,0.06832226766307234
adamw,ekfac,4,scale-power,256000,0.32436177251057174,0.2080349087715149,0.11632686373905685,0.06832226766307234
adamw,ekfac,4,score-ols,64000,0.032463238804422576,0.12307438850402833,-0.09061114969960575,0.13157503127222434
adamw,ekfac,4,score-ols,128000,0.06070421622920284,0.21286834478378297,-0.1521641285545801,0.13157503127222434
adamw,ekfac,4,score-ols,256000,0.06460665460169912,0.2080349087715149,-0.14342825416981578,0.13157503127222434
adamw,ekfac,4,score-origin,64000,0.035121589602822245,0.12307438850402833,-0.08795279890120608,0.15942240647901226
adamw,ekfac,4,score-origin,128000,0.02600777772148228,0.21286834478378297,-0.1868605670623007,0.15942240647901226
adamw,ekfac,4,score-origin,256000,0.024748398888005865,0.2080349087715149,-0.18328650988350903,0.15942240647901226
adamw,ekfac,4,perq-ols,64000,0.038141775485942,0.12307438850402833,-0.08493261301808633,0.15628841761614223
adamw,ekfac,4,perq-ols,128000,0.029322002634777432,0.21286834478378297,-0.18354634214900553,0.15628841761614223
adamw,ekfac,4,perq-ols,256000,0.02810325515683481,0.2080349087715149,-0.17993165361468008,0.15628841761614223
adamw,ekfac,4,perq-origin,64000,0.0370093900290889,0.12307438850402833,-0.08606499847493942,0.15802073626168833
adamw,ekfac,4,perq-origin,128000,0.02740570687059224,0.21286834478378297,-0.18546263791319073,0.15802073626168833
adamw,ekfac,4,perq-origin,256000,0.026078635887484963,0.2080349087715149,-0.18195627288402993,0.15802073626168833
adamw,ekfac,5,mean3,128000,0.054047188758850104,0.21286834478378297,-0.15882115602493285,0.1564231081327099
adamw,ekfac,5,mean3,256000,0.054047188758850104,0.2080349087715149,-0.1539877200126648,0.1564231081327099
adamw,ekfac,5,scale-line,128000,0.1282660973072055,0.21286834478378297,-0.08460224747657746,0.07136438330936792
adamw,ekfac,5,scale-line,256000,0.15300573348999058,0.2080349087715149,-0.05502917528152432,0.07136438330936792
adamw,ekfac,5,scale-power,128000,0.20409534356156467,0.21286834478378297,-0.008773001222218302,0.09929562036306668
adamw,ekfac,5,scale-power,256000,0.34818580921859543,0.2080349087715149,0.14015090044708053,0.09929562036306668
adamw,ekfac,5,score-ols,128000,0.0709250055578092,0.21286834478378297,-0.14194333922597377,0.13824834704400524
adamw,ekfac,5,score-ols,256000,0.07358306099626283,0.2080349087715149,-0.13445184777525207,0.13824834704400524
adamw,ekfac,5,score-origin,128000,0.03966170915919001,0.21286834478378297,-0.17320663562459296,0.1717563655349453
adamw,ekfac,5,score-origin,256000,0.037741163791973814,0.2080349087715149,-0.17029374497954108,0.1717563655349453
adamw,ekfac,5,perq-ols,128000,0.04575877838871885,0.21286834478378297,-0.16710956639506414,0.1653549214201586
adamw,ekfac,5,perq-ols,256000,0.044453452319424075,0.2080349087715149,-0.16358145645209082,0.1653549214201586
adamw,ekfac,5,perq-origin,128000,0.03756308357827835,0.21286834478378297,-0.1753052612055046,0.17380454052766023
adamw,ekfac,5,perq-origin,256000,0.035744160297512435,0.2080349087715149,-0.17229074847400247,0.17380454052766023
adamw,magic,3,mean3,32000,0.062183006604512536,0.09777041673660278,-0.03558741013209024,0.0761899099478157
adamw,magic,3,mean3,64000,0.062183006604512536,0.16388522386550902,-0.10170221726099649,0.0761899099478157
adamw,magic,3,scale-line,32000,0.12803438504536951,0.09777041673660278,0.030263968308766737,0.021499584623600614
adamw,magic,3,scale-line,64000,0.16096007426579784,0.16388522386550902,-0.0029251495997111854,0.021499584623600614
adamw,magic,3,scale-power,32000,0.1973066471196237,0.09777041673660278,0.09953623038302092,0.16558541111509328
adamw,magic,3,scale-power,64000,0.3758512484766412,0.16388522386550902,0.21196602461113218,0.16558541111509328
adamw,magic,3,score-ols,32000,0.13863205827551867,0.09777041673660278,0.04086164153891589,0.03278306056228322
adamw,magic,3,score-ols,64000,0.1419812431677956,0.16388522386550902,-0.021903980697713432,0.03278306056228322
adamw,magic,3,score-origin,32000,0.11682511815281166,0.09777041673660278,0.01905470141620888,0.03441016780532824
adamw,magic,3,score-origin,64000,0.11910757709035096,0.16388522386550902,-0.04477764677515807,0.03441016780532824
adamw,magic,3,perq-ols,32000,0.11583857953626282,0.09777041673660278,0.018068162799660045,0.034746117970880105
adamw,magic,3,perq-ols,64000,0.11818919645461021,0.16388522386550902,-0.045696027410898815,0.034746117970880105
adamw,magic,3,perq-origin,32000,0.11329588224178788,0.09777041673660278,0.015525465505185104,0.03592534947244145
adamw,magic,3,perq-origin,64000,0.11550938908944128,0.16388522386550902,-0.048375834776067744,0.03592534947244145
adamw,magic,4,mean3,64000,0.07107985913753509,0.16388522386550902,-0.09280536472797393,0.09280536472797393
adamw,magic,4,scale-line,64000,0.1306961059570313,0.16388522386550902,-0.03318911790847773,0.03318911790847773
adamw,magic,4,scale-power,64000,0.18624376690286876,0.16388522386550902,0.022358543037359735,0.022358543037359735
adamw,magic,4,score-ols,64000,0.11040999496983664,0.16388522386550902,-0.05347522889567238,0.05347522889567238
adamw,magic,4,score-origin,64000,0.10938563528227087,0.16388522386550902,-0.054499588583238154,0.054499588583238154
adamw,magic,4,perq-ols,64000,0.1054266486739492,0.16388522386550902,-0.05845857519155982,0.05845857519155982
adamw,magic,4,perq-origin,64000,0.10739855734310304,0.16388522386550902,-0.056486666522405984,0.056486666522405984
muon,ekfac,3,mean3,32000,0.03047159512837728,0.05365074872970581,-0.023179153601328526,0.08730535260194994
muon,ekfac,3,mean3,64000,0.03047159512837728,0.12396959066390992,-0.09349799553553263,0.08730535260194994
muon,ekfac,3,mean3,128000,0.03047159512837728,0.147037136554718,-0.11656554142634072,0.08730535260194994
muon,ekfac,3,scale-line,32000,0.06243198712666831,0.05365074872970581,0.008781238396962501,0.04051361094008862
muon,ekfac,3,scale-line,64000,0.0784121831258138,0.12396959066390992,-0.04555740753809612,0.04051361094008862
muon,ekfac,3,scale-line,128000,0.09439237912495926,0.147037136554718,-0.05264475742975874,0.04051361094008862
muon,ekfac,3,scale-power,32000,0.07539083255398372,0.05365074872970581,0.021740083824277917,0.03632594216232302
muon,ekfac,3,scale-power,64000,0.12464458205420821,0.12396959066390992,0.0006749913902982935,0.03632594216232302
muon,ekfac,3,scale-power,128000,0.20607640623073709,0.147037136554718,0.05903926967601908,0.03632594216232302
muon,ekfac,3,score-ols,32000,0.08017962156516245,0.05365074872970581,0.026528872835456643,0.06800121851268467
muon,ekfac,3,score-ols,64000,0.04053428145505722,0.12396959066390992,-0.0834353092088527,0.06800121851268467
muon,ekfac,3,score-ols,128000,0.06825093699582965,0.147037136554718,-0.07878619955888835,0.06800121851268467
muon,ekfac,3,score-origin,32000,0.020684027942868225,0.05365074872970581,-0.032966720786837586,0.09282907444617197
muon,ekfac,3,score-origin,64000,0.02747211642820449,0.12396959066390992,-0.09649747423570543,0.09282907444617197
muon,ekfac,3,score-origin,128000,0.022726461332149634,0.147037136554718,-0.12431067522256838,0.09282907444617197
muon,ekfac,3,perq-ols,32000,0.019141035945366248,0.05365074872970581,-0.03450971278433956,0.09315983592732367
muon,ekfac,3,perq-ols,64000,0.02817788380774138,0.12396959066390992,-0.09579170685616853,0.09315983592732367
muon,ekfac,3,perq-ols,128000,0.021860087096193578,0.147037136554718,-0.12517704945852443,0.09315983592732367
muon,ekfac,3,perq-origin,32000,0.02345538119305197,0.05365074872970581,-0.030195367536653837,0.08987407214990198
muon,ekfac,3,perq-origin,64000,0.031152972950107504,0.12396959066390992,-0.09281661771380241,0.08987407214990198
muon,ekfac,3,perq-origin,128000,0.025771470391893453,0.147037136554718,-0.12126566616282455,0.08987407214990198
muon,ekfac,4,mean3,64000,0.03626638352870941,0.12396959066390992,-0.08770320713520051,0.09990498553062524
muon,ekfac,4,mean3,128000,0.03626638352870941,0.147037136554718,-0.1107707530260086,0.09990498553062524
muon,ekfac,4,scale-line,64000,0.06963094472885134,0.12396959066390992,-0.05433864593505858,0.059398733599866284
muon,ekfac,4,scale-line,128000,0.08297676920890809,0.147037136554718,-0.06406036734580992,0.059398733599866284
muon,ekfac,4,scale-power,64000,0.08870143657746579,0.12396959066390992,-0.035268154086444126,0.026994649185884043
muon,ekfac,4,scale-power,128000,0.13242277797581573,0.147037136554718,-0.014614358578902281,0.026994649185884043
muon,ekfac,4,score-ols,64000,0.03487205859023419,0.12396959066390992,-0.08909753207367573,0.09251961836899722
muon,ekfac,4,score-ols,128000,0.0512175699481522,0.147037136554718,-0.0958195666065658,0.09251961836899722
muon,ekfac,4,score-origin,64000,0.03371383380252328,0.12396959066390992,-0.09025575686138664,0.10569331126217921
muon,ekfac,4,score-origin,128000,0.02788995679579104,0.147037136554718,-0.11914717975892697,0.10569331126217921
muon,ekfac,4,perq-ols,64000,0.036717904370864723,0.12396959066390992,-0.0872516862930452,0.10241844162430372
muon,ekfac,4,perq-ols,128000,0.03142477731695378,0.147037136554718,-0.11561235923776422,0.10241844162430372
muon,ekfac,4,perq-origin,64000,0.03493727743837648,0.12396959066390992,-0.08903231322553344,0.10460078808283996
muon,ekfac,4,perq-origin,128000,0.02890205735800825,0.147037136554718,-0.11813507919670976,0.10460078808283996
muon,ekfac,5,mean3,128000,0.053807024955749516,0.147037136554718,-0.09323011159896849,0.09323011159896849
muon,ekfac,5,scale-line,128000,0.12644768595695527,0.147037136554718,-0.020589450597762737,0.020589450597762737
muon,ekfac,5,scale-power,128000,0.17308933333488438,0.147037136554718,0.026052196780166376,0.026052196780166376
muon,ekfac,5,score-ols,128000,0.06723506505172817,0.147037136554718,-0.07980207150298983,0.07980207150298983
muon,ekfac,5,score-origin,128000,0.04289301134672151,0.147037136554718,-0.1041441252079965,0.1041441252079965
muon,ekfac,5,perq-ols,128000,0.048629871633495504,0.147037136554718,-0.09840726492122251,0.09840726492122251
