method,rule,qset,fit,n_train_rungs,model,n_docs,pred,obs,rmse_nats,rmse_log,params
bm25,top1%,in-dist,full-row,8,loglin,,,,0.023918904771257014,nan,a=-0.4238 b_per_doubling=0.03395
bm25,top1%,in-dist,full-row,8,kaplan-ols,,,,0.03851583054886951,0.3638377599284158,A_at_1e4=0.01669 alpha=0.7427
bm25,top1%,in-dist,full-row,8,kaplan-huber,,,,0.03616562849586676,0.42501702152027493,A_at_1e4=0.01526 alpha=0.7343
bm25,top1%,in-dist,full-row,8,kaplan-smear,,,,0.05972675328455321,0.3055543844745382,A_at_1e4=0.01526 alpha=0.7343 smearing=1.42
bm25,top1%,in-dist,full-row,8,offset-huber,,,,0.03616529308378918,0.42501343217619747,delta0=4.931e-10 A_at_1e4=0.01526 alpha=0.7343
bm25,top1%,in-dist,full-row,8,sat-huber,,,,0.03968932459563296,0.3417063050023803,delta_inf=1.692 A_at_1e4=1.655 alpha=0.02 alpha_at_floor=1
bm25,top1%,in-dist,extrapolate,3,loglin,32000,0.054580206113266055,0.042106778024506644,0.07824874015114389,0.5629266814819084,
bm25,top1%,in-dist,extrapolate,3,loglin,64000,0.07030467625077538,0.11232895398139953,0.07824874015114389,0.5629266814819084,
bm25,top1%,in-dist,extrapolate,3,loglin,128000,0.08602914638828477,0.17917777697245282,0.07824874015114389,0.5629266814819084,
bm25,top1%,in-dist,extrapolate,3,loglin,256000,0.10175361652579415,0.16193238894362974,0.07824874015114389,0.5629266814819084,
bm25,top1%,in-dist,extrapolate,3,loglin,512000,0.11747808666330348,0.24551928440729776,0.07824874015114389,0.5629266814819084,
bm25,top1%,in-dist,extrapolate,3,kaplan-ols,32000,0.05441584995546522,0.042106778024506644,0.2875380886518858,0.7074500167812626,
bm25,top1%,in-dist,extrapolate,3,kaplan-ols,64000,0.10762990213562595,0.11232895398139953,0.2875380886518858,0.7074500167812626,
bm25,top1%,in-dist,extrapolate,3,kaplan-ols,128000,0.2128827509485766,0.17917777697245282,0.2875380886518858,0.7074500167812626,
bm25,top1%,in-dist,extrapolate,3,kaplan-ols,256000,0.4210638935109921,0.16193238894362974,0.2875380886518858,0.7074500167812626,
bm25,top1%,in-dist,extrapolate,3,kaplan-ols,512000,0.8328284073210933,0.24551928440729776,0.2875380886518858,0.7074500167812626,
bm25,top1%,in-dist,extrapolate,3,kaplan-huber,32000,0.03964401261176043,0.042106778024506644,0.08860312929814515,0.3827755765353303,
bm25,top1%,in-dist,extrapolate,3,kaplan-huber,64000,0.07147919261463437,0.11232895398139953,0.08860312929814515,0.3827755765353303,
bm25,top1%,in-dist,extrapolate,3,kaplan-huber,128000,0.12887885560111867,0.17917777697245282,0.08860312929814515,0.3827755765353303,
bm25,top1%,in-dist,extrapolate,3,kaplan-huber,256000,0.23237195068223787,0.16193238894362974,0.08860312929814515,0.3827755765353303,
bm25,top1%,in-dist,extrapolate,3,kaplan-huber,512000,0.4189727105506646,0.24551928440729776,0.08860312929814515,0.3827755765353303,
bm25,top1%,in-dist,extrapolate,3,kaplan-smear,32000,0.06418287136774334,0.042106778024506644,0.2166043174413445,0.6237078546866608,
bm25,top1%,in-dist,extrapolate,3,kaplan-smear,64000,0.11572339737613417,0.11232895398139953,0.2166043174413445,0.6237078546866608,
bm25,top1%,in-dist,extrapolate,3,kaplan-smear,128000,0.20865231509422752,0.17917777697245282,0.2166043174413445,0.6237078546866608,
bm25,top1%,in-dist,extrapolate,3,kaplan-smear,256000,0.37620558660818637,0.16193238894362974,0.2166043174413445,0.6237078546866608,
bm25,top1%,in-dist,extrapolate,3,kaplan-smear,512000,0.6783085216729768,0.24551928440729776,0.2166043174413445,0.6237078546866608,
bm25,top1%,in-dist,extrapolate,3,offset-huber,32000,0.03936378339006799,0.042106778024506644,0.08233115605677867,0.37540657408096534,
bm25,top1%,in-dist,extrapolate,3,offset-huber,64000,0.0704721837241154,0.11232895398139953,0.08233115605677867,0.37540657408096534,
bm25,top1%,in-dist,extrapolate,3,offset-huber,128000,0.12616495201040312,0.17917777697245282,0.08233115605677867,0.37540657408096534,
bm25,top1%,in-dist,extrapolate,3,offset-huber,256000,0.22587063941585347,0.16193238894362974,0.08233115605677867,0.37540657408096534,
bm25,top1%,in-dist,extrapolate,3,offset-huber,512000,0.4043718058490012,0.24551928440729776,0.08233115605677867,0.37540657408096534,
bm25,top1%,in-dist,extrapolate,3,sat-huber,32000,0.028928049833387787,0.042106778024506644,0.12070752034967844,1.1845201556364429,
bm25,top1%,in-dist,extrapolate,3,sat-huber,64000,0.03610383238610779,0.11232895398139953,0.12070752034967844,1.1845201556364429,
bm25,top1%,in-dist,extrapolate,3,sat-huber,128000,0.04306711794438073,0.17917777697245282,0.12070752034967844,1.1845201556364429,
bm25,top1%,in-dist,extrapolate,3,sat-huber,256000,0.04982419919786335,0.16193238894362974,0.12070752034967844,1.1845201556364429,
bm25,top1%,in-dist,extrapolate,3,sat-huber,512000,0.05638118249031515,0.24551928440729776,0.12070752034967844,1.1845201556364429,
bm25,top1%,in-dist,extrapolate,4,loglin,64000,0.057831248162015986,0.11232895398139953,0.10532991816111438,0.824904855327128,
bm25,top1%,in-dist,extrapolate,4,loglin,128000,0.06981368987289754,0.17917777697245282,0.10532991816111438,0.824904855327128,
bm25,top1%,in-dist,extrapolate,4,loglin,256000,0.08179613158377907,0.16193238894362974,0.10532991816111438,0.824904855327128,
bm25,top1%,in-dist,extrapolate,4,loglin,512000,0.0937785732946606,0.24551928440729776,0.10532991816111438,0.824904855327128,
bm25,top1%,in-dist,extrapolate,4,kaplan-ols,64000,0.055367408856613856,0.11232895398139953,0.05399993143928869,0.4986244446978104,
bm25,top1%,in-dist,extrapolate,4,kaplan-ols,128000,0.08962139373237463,0.17917777697245282,0.05399993143928869,0.4986244446978104,
bm25,top1%,in-dist,extrapolate,4,kaplan-ols,256000,0.14506718628162546,0.16193238894362974,0.05399993143928869,0.4986244446978104,
bm25,top1%,in-dist,extrapolate,4,kaplan-ols,512000,0.23481545710514612,0.24551928440729776,0.05399993143928869,0.4986244446978104,
bm25,top1%,in-dist,extrapolate,4,kaplan-huber,64000,0.0422903963928666,0.11232895398139953,0.08824880131309003,0.7883068225518809,
bm25,top1%,in-dist,extrapolate,4,kaplan-huber,128000,0.06453170484684131,0.17917777697245282,0.08824880131309003,0.7883068225518809,
bm25,top1%,in-dist,extrapolate,4,kaplan-huber,256000,0.09847013236183026,0.16193238894362974,0.08824880131309003,0.7883068225518809,
bm25,top1%,in-dist,extrapolate,4,kaplan-huber,512000,0.150257412079374,0.24551928440729776,0.08824880131309003,0.7883068225518809,
bm25,top1%,in-dist,extrapolate,4,kaplan-smear,64000,0.07025794590087411,0.11232895398139953,0.04174100197885893,0.3479855883965703,
bm25,top1%,in-dist,extrapolate,4,kaplan-smear,128000,0.1072079104178203,0.17917777697245282,0.04174100197885893,0.3479855883965703,
bm25,top1%,in-dist,extrapolate,4,kaplan-smear,256000,0.16359055063140387,0.16193238894362974,0.04174100197885893,0.3479855883965703,
bm25,top1%,in-dist,extrapolate,4,kaplan-smear,512000,0.24962587323628602,0.24551928440729776,0.04174100197885893,0.3479855883965703,
bm25,top1%,in-dist,extrapolate,4,offset-huber,64000,0.04312836649634612,0.11232895398139953,0.08563412460969785,0.7644144949654234,
bm25,top1%,in-dist,extrapolate,4,offset-huber,128000,0.06613395200809424,0.17917777697245282,0.08563412460969785,0.7644144949654234,
bm25,top1%,in-dist,extrapolate,4,offset-huber,256000,0.10141120823317486,0.16193238894362974,0.08563412460969785,0.7644144949654234,
bm25,top1%,in-dist,extrapolate,4,offset-huber,512000,0.1555061064540645,0.24551928440729776,0.08563412460969785,0.7644144949654234,
bm25,top1%,in-dist,extrapolate,4,sat-huber,64000,0.033666983688457774,0.11232895398139953,0.13783168213579267,1.3791116729281212,
bm25,top1%,in-dist,extrapolate,4,sat-huber,128000,0.040174080891726416,0.17917777697245282,0.13783168213579267,1.3791116729281212,
bm25,top1%,in-dist,extrapolate,4,sat-huber,256000,0.0465312266176644,0.16193238894362974,0.13783168213579267,1.3791116729281212,
bm25,top1%,in-dist,extrapolate,4,sat-huber,512000,0.05274187639257644,0.24551928440729776,0.13783168213579267,1.3791116729281212,
bm25,top1%,in-dist,extrapolate,5,loglin,128000,0.11341185452840452,0.17917777697245282,0.06438862652640535,0.3771328288843229,
bm25,top1%,in-dist,extrapolate,5,loglin,256000,0.13629383740316275,0.16193238894362974,0.06438862652640535,0.3771328288843229,
bm25,top1%,in-dist,extrapolate,5,loglin,512000,0.159175820277921,0.24551928440729776,0.06438862652640535,0.3771328288843229,
bm25,top1%,in-dist,extrapolate,5,kaplan-ols,128000,0.14694333922055428,0.17917777697245282,0.1571839195265272,0.5118114006553827,
bm25,top1%,in-dist,extrapolate,5,kaplan-ols,256000,0.26931916360888,0.16193238894362974,0.1571839195265272,0.5118114006553827,
bm25,top1%,in-dist,extrapolate,5,kaplan-ols,512000,0.4936107500464428,0.24551928440729776,0.1571839195265272,0.5118114006553827,
bm25,top1%,in-dist,extrapolate,5,kaplan-huber,128000,0.16331669910884936,0.17917777697245282,0.229198396683795,0.6548958412835189,
bm25,top1%,in-dist,extrapolate,5,kaplan-huber,256000,0.31591075606548574,0.16193238894362974,0.229198396683795,0.6548958412835189,
bm25,top1%,in-dist,extrapolate,5,kaplan-huber,512000,0.6110802284299851,0.24551928440729776,0.229198396683795,0.6548958412835189,
bm25,top1%,in-dist,extrapolate,5,kaplan-smear,128000,0.23918104494658263,0.17917777697245282,0.4146424774782479,0.9761095283254346,
bm25,top1%,in-dist,extrapolate,5,kaplan-smear,256000,0.46265853496859966,0.16193238894362974,0.4146424774782479,0.9761095283254346,
bm25,top1%,in-dist,extrapolate,5,kaplan-smear,512000,0.894940985089752,0.24551928440729776,0.4146424774782479,0.9761095283254346,
bm25,top1%,in-dist,extrapolate,5,offset-huber,128000,0.18650388792225098,0.17917777697245282,0.38094994170569424,0.8930300746172537,
bm25,top1%,in-dist,extrapolate,5,offset-huber,256000,0.3997852085431053,0.16193238894362974,0.38094994170569424,0.8930300746172537,
