n,rule,method,qset,query,qld,ctrl_sd,ctrl_n
4000,top1%,ekfac,in-dist,0,0.007303383346879855,0.0008130159112624824,100
4000,top1%,ekfac,in-dist,1,0.009252860545529984,0.0007979093352332711,100
4000,top1%,ekfac,in-dist,2,0.01206722974893637,0.0008534135413356125,100
4000,top1%,ekfac,in-dist,3,0.0064823865891412424,0.0006676022312603891,100
4000,top1%,ekfac,in-dist,4,0.009538807869830634,0.0007034409791231155,100
4000,top1%,ekfac,in-dist,5,0.016321275237714872,0.0008803176460787654,100
4000,top1%,ekfac,in-dist,6,0.014282131189247593,0.0009285151027143002,100
4000,top1%,ekfac,in-dist,7,0.010621263980283402,0.0007758881547488272,100
4000,top1%,ekfac,in-dist,8,0.008367955684661865,0.0008689541718922555,100
4000,top1%,ekfac,in-dist,9,0.014293925763922743,0.0008230260573327541,100
4000,top1%,ekfac,in-dist,10,0.014182708262524102,0.000705515209119767,100
4000,top1%,ekfac,in-dist,11,0.01571843861893285,0.0007596206851303577,100
4000,top1%,ekfac,in-dist,12,0.00661878824030282,0.0006152346613816917,100
4000,top1%,ekfac,in-dist,13,0.006294846534729004,0.0009551402763463557,100
4000,top1%,ekfac,in-dist,14,0.006933922762982547,0.0007594922208227217,100
4000,top1%,ekfac,in-dist,15,0.005868175030627754,0.0006896876147948205,100
4000,top1%,ekfac,in-dist,16,0.007881672382609395,0.0007061325013637543,100
4000,top1%,ekfac,in-dist,17,0.03867484569491353,0.0011976653477177024,100
4000,top1%,ekfac,in-dist,18,0.004623005384928547,0.0009035649709403515,100
4000,top1%,ekfac,in-dist,19,0.014445524215261685,0.0010053734295070171,100
4000,top1%,ekfac,held-out,0,0.00727391242980957,0.0005471691256389022,3
4000,top1%,ekfac,held-out,1,0.005318323761457577,0.00032625667518004775,3
4000,top1%,ekfac,held-out,2,0.007747252777335234,0.0007614670903421938,3
4000,top1%,ekfac,held-out,3,0.009620825439924374,0.0009049221407622099,3
4000,top1%,ekfac,held-out,4,0.01189279556274414,0.00025879027089104056,3
4000,top1%,ekfac,held-out,5,0.005180994659895077,0.0011628635693341494,3
4000,top1%,ekfac,held-out,6,0.006762663542758673,0.0008481605909764767,3
4000,top1%,ekfac,held-out,7,0.006307760872005019,0.00029949648887850344,3
4000,top1%,ekfac,held-out,8,0.006636699041337124,0.0005499552353285253,3
4000,top1%,ekfac,held-out,9,0.00701904296875,0.0007359400624409318,3
4000,top1%,ekfac,held-out,10,0.005977153778076172,0.0004531939630396664,3
4000,top1%,ekfac,held-out,11,0.006521940231323242,0.0009053146932274103,3
4000,top1%,ekfac,held-out,12,0.01121465364121832,0.0005108223995193839,3
