volume,row,run,step,method,model,params,dataset,n_docs,batch_size,epochs,subset_fraction,num_subsets,query_dataset,query_batch_size,apply_batch_size,gpus,gpu_type_inferred,precision,resume,passes,train_steps_est,start_utc,end_utc,end_marker,status,duration_min,sec_per_train_step,gpu_hours
ssd-1,plan_adam_eps1e17_128k_bs32,plan_adam_eps1e17_128k_bs32/base,train,,gpt2,124000000,train_128k.hf,128000,32,2,,,,,,2,A40-48GB,fp32,False,1,8000,2026-08-27 04:24,2026-08-27 05:48,model/model.safetensors,done,84.1,0.63,2.80
ssd-1,plan_adam_eps1e17_16k_bs32,plan_adam_eps1e17_16k_bs32,magic,,gpt2,124000000,train_16k.hf,16000,32,2,0.01,100,query_20.hf,,,4,A40-48GB,fp32,True,1,1000,2026-08-22 07:42,2026-08-23 04:05,validation.csv,done,1223.0,73.38,81.53
ssd-1,plan_adam_eps1e17_16k_bs32,plan_adam_eps1e17_16k_bs32/base_recover_q0_1,validate,filter-proponents,gpt2,124000000,train_16k.hf,16000,32,2,0.01,0,query_20_q0_1.hf,,,4,A40-48GB,fp32,True,2,1990,2026-09-05 11:22,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_16k_bs32,plan_adam_eps1e17_16k_bs32/bsc_q0_1,score,,gpt2,124000000,train_16k.hf,16000,1024,,,,,,,2,A40-48GB,fp32,False,,,2026-09-05 11:17,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_16k_bs32,plan_adam_eps1e17_16k_bs32/ekfac_scores,ekfac,kfac,gpt2,124000000,train_16k.hf,16000,1024,,,,query_20.hf,,,2,A40-48GB,fp32,False,,,2026-08-23 06:43,2026-08-23 07:26,scores/scores.bin,done,43.9,,1.46
ssd-1,plan_adam_eps1e17_16k_bs32,plan_adam_eps1e17_16k_bs32/ekfac_scores/scores,score,,gpt2,124000000,train_16k.hf,16000,1024,,,,,,,2,A40-48GB,fp32,False,,,2026-08-23 07:20,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_16k_bs32,plan_adam_eps1e17_16k_bs32/ekfac_scores_heldout,ekfac,kfac,gpt2,124000000,train_16k.hf,16000,1024,,,,query_20_heldout.hf,,,2,A40-48GB,fp32,True,,,2026-09-05 11:38,2026-09-05 11:46,scores/scores.bin,done,7.1,,0.24
ssd-1,plan_adam_eps1e17_16k_bs32,plan_adam_eps1e17_16k_bs32/ekfac_scores_heldout/scores,score,,gpt2,124000000,train_16k.hf,16000,1024,,,,,,,2,A40-48GB,fp32,False,,,2026-09-05 11:39,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_16k_bs32,plan_adam_eps1e17_16k_bs32/filter_proponents_ekfac,validate,filter-proponents,gpt2,124000000,train_16k.hf,16000,32,2,0.01,100,query_20.hf,,,4,A40-48GB,fp32,False,2,1990,2026-08-25 02:11,2026-08-25 07:55,filter_summary.csv,done,344.5,10.39,22.97
ssd-1,plan_adam_eps1e17_16k_bs32,plan_adam_eps1e17_16k_bs32/filter_proponents_ekfac_heldout,validate,filter-proponents,gpt2,124000000,train_16k.hf,16000,32,2,0.01,3,query_20_heldout.hf,,,4,A40-48GB,fp32,True,2,1990,2026-09-05 11:54,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_16k_bs32,plan_adam_eps1e17_16k_bs32/filter_proponents_magic,validate,filter-proponents,gpt2,124000000,train_16k.hf,16000,32,2,0.01,100,query_20.hf,,,4,A40-48GB,fp32,False,2,1990,2026-08-25 00:43,2026-08-25 06:30,filter_summary.csv,done,347.1,10.47,23.14
ssd-1,plan_adam_eps1e17_16k_bs512,plan_adam_eps1e17_16k_bs512,magic,,gpt2,124000000,train_16k.hf,16000,512,2,0.01,100,query_20.hf,,,4,A40-48GB,fp32,True,1,64,2026-08-23 08:12,2026-08-24 00:13,validation.csv,done,960.6,900.60,64.04
ssd-1,plan_adam_eps1e17_16k_bs512,plan_adam_eps1e17_16k_bs512/ekfac_scores,ekfac,kfac,gpt2,124000000,train_16k.hf,16000,1024,,,,query_20.hf,,,2,A40-48GB,fp32,False,,,2026-08-24 00:52,2026-08-24 01:35,scores/scores.bin,done,43.1,,1.44
ssd-1,plan_adam_eps1e17_16k_bs512,plan_adam_eps1e17_16k_bs512/ekfac_scores/query,build,,gpt2,124000000,query_20.hf,20,1024,,,,,,,2,A40-48GB,fp32,False,,,2026-08-24 00:52,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_16k_bs512,plan_adam_eps1e17_16k_bs512/ekfac_scores/scores,score,,gpt2,124000000,train_16k.hf,16000,1024,,,,,,,2,A40-48GB,fp32,False,,,2026-08-24 01:29,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_16k_bs512,plan_adam_eps1e17_16k_bs512/filter_proponents_ekfac,validate,filter-proponents,gpt2,124000000,train_16k.hf,16000,512,2,0.01,3,query_20.hf,,,4,A40-48GB,fp32,False,2,126,2026-08-25 11:05,2026-08-25 12:40,filter_summary.csv,done,94.9,45.18,6.33
ssd-1,plan_adam_eps1e17_16k_bs512,plan_adam_eps1e17_16k_bs512/filter_proponents_magic,validate,filter-proponents,gpt2,124000000,train_16k.hf,16000,512,2,0.01,100,query_20.hf,,,4,A40-48GB,fp32,False,2,126,2026-08-25 03:08,2026-08-25 04:34,filter_summary.csv,done,86.4,41.12,5.76
ssd-1,plan_adam_eps1e17_16k_bs64,plan_adam_eps1e17_16k_bs64,magic,,gpt2,124000000,train_16k.hf,16000,64,2,0.01,100,query_20.hf,,,4,A40-48GB,fp32,True,1,500,2026-08-22 00:32,2026-08-22 10:54,validation.csv,done,622.3,74.68,41.49
ssd-1,plan_adam_eps1e17_16k_bs64,plan_adam_eps1e17_16k_bs64/filter_proponents_ekfac,validate,filter-proponents,gpt2,124000000,train_16k.hf,16000,64,2,0.01,100,query_20.hf,,,4,A40-48GB,fp32,False,2,996,2026-08-25 02:11,2026-08-25 05:48,filter_summary.csv,done,217.3,13.09,14.49
ssd-1,plan_adam_eps1e17_16k_bs64,plan_adam_eps1e17_16k_bs64/filter_proponents_magic,validate,filter-proponents,gpt2,124000000,train_16k.hf,16000,64,2,0.01,100,query_20.hf,,,4,A40-48GB,fp32,False,2,996,2026-08-25 00:48,2026-08-25 04:27,filter_summary.csv,done,219.1,13.20,14.61
ssd-1,plan_adam_eps1e17_32k_bs32,plan_adam_eps1e17_32k_bs32/bank_from_filter,validate,lds,gpt2,124000000,train_32k.hf,32000,32,2,0.01,100,query_20.hf,,,2,A40-48GB,fp32,True,2,3980,2026-08-26 00:53,2026-08-26 03:21,summary_24_30.csv,done,148.2,2.23,4.94
ssd-1,plan_adam_eps1e17_32k_bs32,plan_adam_eps1e17_32k_bs32/base,train,,gpt2,124000000,train_32k.hf,32000,32,2,,,,,,2,A40-48GB,fp32,False,1,2000,2026-08-25 06:16,2026-08-25 06:38,model/model.safetensors,done,21.1,0.63,0.70
ssd-1,plan_adam_eps1e17_32k_bs32,plan_adam_eps1e17_32k_bs32/base_traj,magic,,gpt2,124000000,train_32k.hf,32000,32,2,0.01,0,query_20.hf,,,2,A40-48GB,fp32,True,1,2000,2026-08-27 00:58,2026-08-27 22:41,per_query/q17.pt,done,1302.9,39.09,43.43
ssd-1,plan_adam_eps1e17_32k_bs32,plan_adam_eps1e17_32k_bs32/ekfac_scores,ekfac,kfac,gpt2,124000000,train_32k.hf,32000,1024,,,,query_20.hf,,,2,A40-48GB,fp32,False,,,2026-08-25 10:44,2026-08-25 11:56,scores/scores.bin,done,71.8,,2.39
ssd-1,plan_adam_eps1e17_32k_bs32,plan_adam_eps1e17_32k_bs32/ekfac_scores/query,build,,gpt2,124000000,query_20.hf,20,1024,,,,,,,2,A40-48GB,fp32,False,,,2026-08-25 10:44,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_32k_bs32,plan_adam_eps1e17_32k_bs32/ekfac_scores/scores,score,,gpt2,124000000,train_32k.hf,32000,1024,,,,,,,2,A40-48GB,fp32,False,,,2026-08-25 11:44,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_32k_bs32,plan_adam_eps1e17_32k_bs32/filter_proponents_ekfac,validate,filter-proponents,gpt2,124000000,train_32k.hf,32000,32,2,0.01,3,query_20.hf,,,2,A40-48GB,fp32,False,2,3980,2026-08-25 12:12,2026-08-25 20:40,filter_summary.csv,done,507.9,7.66,16.93
ssd-1,plan_adam_eps1e17_4k_bs256,plan_adam_eps1e17_4k_bs256,magic,,gpt2,124000000,train_4k.hf,4000,256,2,0.01,100,query_20.hf,,,2,A40-48GB,fp32,True,1,32,2026-08-21 11:15,2026-08-21 14:42,validation.csv,done,207.2,388.45,6.91
ssd-1,plan_adam_eps1e17_4k_bs256,plan_adam_eps1e17_4k_bs256/bif_scores,bif,,gpt2,124000000,train_4k.hf,4000,,,,,query_20.hf,,,4,A40-48GB,fp32,False,,,2026-09-05 16:09,2026-09-05 17:55,scores/scores.bin,done,105.6,,7.04
ssd-1,plan_adam_eps1e17_4k_bs256,plan_adam_eps1e17_4k_bs256/bif_scores/lds_input,score,,gpt2,124000000,,1,,,,,,,,1,A40-48GB,,False,,,2026-09-05 18:04,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_4k_bs256,plan_adam_eps1e17_4k_bs256/bif_scores/scores,score,,gpt2,124000000,train_4k.hf,4000,2048,,,,,,,4,A40-48GB,fp32,False,,,2026-09-05 17:55,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_4k_bs256,plan_adam_eps1e17_4k_bs256/bif_scores_ref,bif,,gpt2,124000000,train_4k.hf,4000,,,,,query_20.hf,,,1,A40-48GB,fp32,True,,,2026-09-06 01:44,2026-09-06 03:01,scores/scores.bin,done,77.0,,1.28
ssd-1,plan_adam_eps1e17_4k_bs256,plan_adam_eps1e17_4k_bs256/bif_scores_ref/lds_input,score,,gpt2,124000000,,1,,,,,,,,1,A40-48GB,,False,,,2026-09-06 03:06,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_4k_bs256,plan_adam_eps1e17_4k_bs256/bif_scores_ref/scores,score,,gpt2,124000000,train_4k.hf,4000,2048,,,,,,,1,A40-48GB,fp32,False,,,2026-09-06 03:01,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_4k_bs256,plan_adam_eps1e17_4k_bs256/bif_scores_ref_e8,bif,,gpt2,124000000,train_4k.hf,4000,,,,,query_20.hf,,,4,A40-48GB,fp32,False,,,2026-09-05 23:20,2026-09-06 01:14,scores/scores.bin,done,113.9,,7.59
ssd-1,plan_adam_eps1e17_4k_bs256,plan_adam_eps1e17_4k_bs256/bif_scores_ref_e8/lds_input,score,,gpt2,124000000,,1,,,,,,,,1,A40-48GB,,False,,,2026-09-06 01:23,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_4k_bs256,plan_adam_eps1e17_4k_bs256/bif_scores_ref_e8/scores,score,,gpt2,124000000,train_4k.hf,4000,2048,,,,,,,4,A40-48GB,fp32,False,,,2026-09-06 01:14,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_4k_bs256,plan_adam_eps1e17_4k_bs256/bif_scores_tuned,bif,,gpt2,124000000,train_4k.hf,4000,,,,,query_20.hf,,,4,A40-48GB,fp32,False,,,2026-09-05 16:13,2026-09-05 17:59,scores/scores.bin,done,106.2,,7.08
ssd-1,plan_adam_eps1e17_4k_bs256,plan_adam_eps1e17_4k_bs256/bif_scores_tuned/lds_input,score,,gpt2,124000000,,1,,,,,,,,1,A40-48GB,,False,,,2026-09-05 18:04,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_4k_bs256,plan_adam_eps1e17_4k_bs256/bif_scores_tuned/scores,score,,gpt2,124000000,train_4k.hf,4000,2048,,,,,,,4,A40-48GB,fp32,False,,,2026-09-05 17:59,,,incomplete_or_running,,,
ssd-1,plan_adam_eps1e17_4k_bs256,plan_adam_eps1e17_4k_bs256/bif_scores_tuned_nb300,bif,,gpt2,124000000,train_4k.hf,4000,,,,,query_20.hf,,,4,A40-48GB,fp32,False,,,2026-09-05 16:48,2026-09-05 18:35,scores/scores.bin,done,106.8,,7.12
