method,n_docs,n_queries,unfiltered,filtered
EK-FAC,4000,20,3.391980993747711,3.403506851196289
EK-FAC,8000,20,3.381705331802368,3.410931169986725
EK-FAC,16000,20,3.327586019039154,3.3804707407951353
EK-FAC,32000,20,3.313689637184143,3.3672147750854493
EK-FAC,64000,20,3.2389909386634828,3.362065327167511
EK-FAC,128000,20,3.18002667427063,3.392895019054413
EK-FAC,256000,20,3.2007272481918334,3.4087621569633484
EK-FAC,512000,20,3.1341924548149107,3.421903395652771
MAGIC,4000,20,3.391981029510498,3.4170321583747865
MAGIC,8000,20,3.3817052960395815,3.4523006796836855
MAGIC,16000,20,3.327586126327515,3.41848863363266
MAGIC,32000,20,3.3136897325515746,3.4114601492881773
MAGIC,64000,20,3.2389878034591675,3.4028730273246763
MAGIC,128000,20,3.180100417137146,nan
MAGIC,256000,20,3.200708639621735,3.2184571385383607
BM25,4000,20,3.3919809460639954,3.399735927581787
BM25,8000,20,3.3815860986709594,3.4037618398666383
BM25,16000,20,3.3275861740112305,3.367054271697998
BM25,32000,20,3.313689661026001,3.3559558153152467
BM25,64000,20,3.238987934589386,3.3511310338974
BM25,128000,20,3.180026853084564,3.3580719351768495
BM25,256000,20,3.200673997402191,3.3607650279998778
BM25,512000,20,3.134192502498627,3.380268168449402
