query,n_removed,baseline_loss,filtered_loss,loss_change
0,160,3.46201229095459,3.502507209777832,0.04049491882324219
1,160,3.735738754272461,3.7757184505462646,0.03997969627380371
2,160,3.6245014667510986,3.6751911640167236,0.050689697265625
3,160,3.7979390621185303,3.861424207687378,0.06348514556884766
4,160,3.704263925552368,3.734583854675293,0.030319929122924805
5,160,3.497420072555542,3.54880952835083,0.051389455795288086
6,160,4.167048931121826,4.217350006103516,0.05030107498168945
7,160,3.869168758392334,3.9322428703308105,0.06307411193847656
8,160,3.850583076477051,3.890279769897461,0.039696693420410156
9,160,3.566594123840332,3.6090502738952637,0.04245615005493164
10,160,3.567659378051758,3.620694160461426,0.05303478240966797
11,160,3.7782466411590576,3.8322761058807373,0.05402946472167969
12,160,3.600658893585205,3.6401991844177246,0.03954029083251953
13,160,3.89485764503479,3.962939739227295,0.06808209419250488
14,160,4.176576614379883,4.239723205566406,0.06314659118652344
15,160,4.189007759094238,4.24102783203125,0.05202007293701172
16,160,3.8494715690612793,3.898437976837158,0.048966407775878906
17,160,4.053147792816162,4.101819038391113,0.04867124557495117
18,160,3.7102367877960205,3.7521297931671143,0.04189300537109375
19,160,3.311896324157715,3.347902774810791,0.03600645065307617
