query,n_removed,baseline_loss,filtered_loss,loss_change
0,40,2.8304474353790283,2.8413548469543457,0.010907411575317383
1,40,2.8760979175567627,2.885828733444214,0.009730815887451172
2,40,2.75992488861084,2.767883062362671,0.007958173751831055
3,40,2.821410894393921,2.8350882530212402,0.013677358627319336
4,40,3.3806586265563965,3.3890328407287598,0.008374214172363281
5,40,3.0970895290374756,3.1072700023651123,0.010180473327636719
6,40,3.6417887210845947,3.64613676071167,0.004348039627075195
7,40,3.680109977722168,3.684896230697632,0.004786252975463867
8,40,3.712989330291748,3.717634439468384,0.004645109176635742
9,40,3.461470127105713,3.466474771499634,0.0050046443939208984
10,40,3.351626396179199,3.3583898544311523,0.006763458251953125
11,40,2.6918509006500244,2.7068445682525635,0.014993667602539062
12,40,2.989697217941284,3.0900161266326904,0.10031890869140625
13,40,3.33124041557312,3.3374319076538086,0.0061914920806884766
14,40,3.306753158569336,3.31706166267395,0.010308504104614258
15,40,2.962069272994995,2.969367265701294,0.007297992706298828
16,40,3.350731372833252,3.3620429039001465,0.011311531066894531
17,40,3.457388162612915,3.464934825897217,0.007546663284301758
18,40,3.6289076805114746,3.6358745098114014,0.006966829299926758
19,40,3.9153339862823486,3.933802843093872,0.018468856811523438
