query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.9463666366636663,6.965935819896461e-50,0.9373954012388954,1.0967292367299157e-46,100,3.4003193378448486
1,0.9654845484548453,4.600815209103041e-59,0.9744482087809926,2.273618911593621e-65,100,3.5231082439422607
2,0.9482148214821481,1.3064720838360413e-50,0.9567013779088575,2.488710371994222e-54,100,3.4456706047058105
3,0.9356975697569755,3.905242931171803e-46,0.9320511790695497,5.332765863535562e-45,100,2.9898805618286133
4,0.944182418241824,4.672287256303211e-49,0.9590894787817279,1.635149177226498e-55,100,2.8286845684051514
5,0.9534833483348334,7.7261445083775195e-53,0.9421612333584243,2.5424764588454164e-48,100,3.330876111984253
6,0.9460786078607861,8.993660573673303e-50,0.9502471135217097,1.9293254369714997e-51,100,3.3186895847320557
7,0.9418690125125275,3.2317048467266243e-48,0.9581540901034025,4.8405098721389504e-55,100,3.3405227661132812
8,0.9342242250993895,1.1434152211706616e-45,0.9353854950761727,4.91346184595739e-46,100,3.0452816486358643
9,0.8704470447044704,6.300033256479091e-32,0.8709946422867648,5.189992675644254e-32,100,3.2668845653533936
10,0.9318451845184518,6.154513449884404e-45,0.9592256655710579,1.3932140625283803e-55,100,3.485581874847412
11,0.9593879387938792,1.150397357204986e-55,0.9599449703593914,5.925833050742159e-56,100,3.124760150909424
12,0.9699129912991298,6.119133314139508e-62,0.9969334418658897,2.95291569499492e-110,100,3.3395965099334717
13,0.93016501650165,1.9484594276011343e-44,0.944450051846432,3.7158470205846276e-49,100,3.8052568435668945
14,0.9393579357935793,2.4153301748672146e-47,0.9612245184850045,1.2450269061813301e-56,100,3.6294946670532227
15,0.9347130796032644,8.02804794927119e-46,0.950967394233641,9.607481877779979e-52,100,3.553333282470703
16,0.9600120012001199,5.467711148066636e-56,0.9638504552313917,4.268048069884841e-58,100,3.919603109359741
17,0.9816381638163815,2.5071869143074607e-72,0.9925792333154022,1.7050741873780618e-91,100,3.5866575241088867
18,0.9358295829582957,3.542466106940019e-46,0.9471337054011651,3.5032292952520616e-50,100,2.901536226272583
19,0.9527152715271526,1.692180209340827e-52,0.9507670705308765,1.1675578104944893e-51,100,2.509138345718384
