query,n_removed,baseline_loss,filtered_loss,loss_change
0,160,3.411747694015503,3.4447004795074463,0.03295278549194336
1,160,3.5385570526123047,3.5742135047912598,0.03565645217895508
2,160,3.4561779499053955,3.5164995193481445,0.06032156944274902
3,160,2.9990386962890625,3.0393242835998535,0.040285587310791016
4,160,2.837622880935669,2.8722376823425293,0.03461480140686035
5,160,3.3331105709075928,3.382862091064453,0.04975152015686035
6,160,3.3293092250823975,3.369913339614868,0.0406041145324707
7,160,3.3449528217315674,3.3988595008850098,0.05390667915344238
8,160,3.051910877227783,3.0900533199310303,0.03814244270324707
9,160,3.2737786769866943,3.315432548522949,0.04165387153625488
10,160,3.4976587295532227,3.549717426300049,0.05205869674682617
11,160,3.1188175678253174,3.192615032196045,0.07379746437072754
12,160,3.334357738494873,3.4080538749694824,0.07369613647460938
13,160,3.8075764179229736,3.8336827754974365,0.02610635757446289
14,160,3.6376307010650635,3.665008783340454,0.027378082275390625
15,160,3.5595343112945557,3.5839695930480957,0.02443528175354004
16,160,3.9195473194122314,3.9440252780914307,0.02447795867919922
17,160,3.5629770755767822,3.8651163578033447,0.3021392822265625
18,160,2.9200754165649414,2.9488213062286377,0.02874588966369629
19,160,2.528160572052002,2.5708467960357666,0.04268622398376465
