query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.03295278549194336,0.00011441946116974577,0.0010889823315665126,100,1
1,160,0.03565645217895508,0.0002895093057304621,0.0013316661352291703,100,1
2,160,0.06032156944274902,5.825281186844222e-05,0.001363137154839933,100,1
3,160,0.040285587310791016,8.390426955884323e-05,0.001501406542956829,100,1
4,160,0.03461480140686035,1.2691020856436808e-05,0.00110923801548779,100,1
5,160,0.04975152015686035,0.00020628690253943205,0.0012441457947716117,100,1
6,160,0.0406041145324707,1.6283988770737778e-06,0.0014128143666312099,100,1
7,160,0.05390667915344238,0.0003030037914868444,0.0013622051337733865,100,1
8,160,0.03814244270324707,-2.9103755878168158e-05,0.001168595626950264,100,1
9,160,0.04165387153625488,-2.0892619431833737e-05,0.0011639274889603257,100,1
10,160,0.05205869674682617,0.00034044505446217954,0.001231488073244691,100,1
11,160,0.07379746437072754,0.0004710936627816409,0.0014008927391842008,100,1
12,160,0.07369613647460938,0.0010718965204432607,0.0034381337463855743,100,1
13,160,0.02610635757446289,-0.00012896298721898347,0.0011427602730691433,100,1
14,160,0.027378082275390625,0.00016882419004105031,0.0011227976065129042,100,1
15,160,0.02443528175354004,0.00035812376881949604,0.0008578530978411436,100,1
16,160,0.02447795867919922,0.00017145395395345986,0.0012064178008586168,100,1
17,160,0.3021392822265625,0.001064965734258294,0.002203855197876692,100,1
18,160,0.02874588966369629,-0.0002208113728556782,0.0010207712184637785,100,1
19,160,0.04268622398376465,-0.0001355266576865688,0.0012695788173004985,100,1
