query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.06810855865478516,0.00011384963727323338,0.0010889222612604499,100,1
1,160,0.06330680847167969,0.00028924940852448344,0.00133169733453542,100,1
2,160,0.10883522033691406,5.765438254456967e-05,0.0013631576439365745,100,1
3,160,0.09498739242553711,8.418082870775834e-05,0.001501451712101698,100,1
4,160,0.06563329696655273,1.3198852684581652e-05,0.0011091644410043955,100,1
5,160,0.07866668701171875,0.00020624160242732614,0.0012442376464605331,100,1
6,160,0.06995868682861328,1.6927718888837262e-06,0.0014128758339211345,100,1
7,160,0.09267926216125488,0.0003026271006092429,0.0013621979160234332,100,1
8,160,0.0753321647644043,-2.8359889256535098e-05,0.001168677699752152,100,1
9,160,0.0728006362915039,-2.0802021026611328e-05,0.001163944718427956,100,1
10,160,0.08159279823303223,0.0003409099590498954,0.0012314568739384413,100,1
11,160,0.10227346420288086,0.00047066211118362844,0.0014009001897647977,100,1
12,160,0.0877690315246582,0.0010720848804339767,0.003438137238845229,100,1
13,160,0.06715059280395508,-0.00012900114234071225,0.0011427410645410419,100,1
14,160,0.0635676383972168,0.0001687979674898088,0.001122756046243012,100,1
15,160,0.0827326774597168,0.00035910605220124125,0.0008578689303249121,100,1
16,160,0.061303138732910156,0.0001710057258605957,0.0012064281618222594,100,1
17,160,0.31860852241516113,0.0010649871546775103,0.002203808631747961,100,1
18,160,0.06546282768249512,-0.00022056818124838173,0.00102087517734617,100,1
19,160,0.08675336837768555,-0.00013583659892901778,0.001269618864171207,100,1
