query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.03094339370727539,-4.388094021123834e-05,0.0009713899344205856,100,1
1,160,0.033521175384521484,0.00025811194791458547,0.0011178705608472228,100,1
2,160,0.05816650390625,0.0002716279122978449,0.0012999414466321468,100,1
3,160,0.04186820983886719,0.00017161369032692164,0.0013540672371163964,100,1
4,160,0.035971641540527344,0.00017142773140221834,0.0010953545570373535,100,1
5,160,0.05002737045288086,0.0002862572728190571,0.0012290198355913162,100,1
6,160,0.044696807861328125,0.00016878127644304186,0.0011926712468266487,100,1
7,160,0.05564403533935547,0.0003743004926946014,0.0013506923569366336,100,1
8,160,0.039092063903808594,0.00019649267778731883,0.001022944226861,100,1
9,160,0.04606342315673828,0.00022892474953550845,0.001172979362308979,100,1
10,160,0.05550885200500488,0.0003261351666878909,0.0011273566633462906,100,1
11,160,0.07009220123291016,0.0002007317525567487,0.001310692518018186,100,1
12,160,0.078338623046875,0.0010609626770019531,0.003997463267296553,100,1
13,160,0.027106761932373047,0.00033540965523570776,0.0008413082687184215,100,1
14,160,0.02681875228881836,7.941007788758725e-05,0.0008696341537870467,100,1
15,160,0.025585174560546875,0.0002591848315205425,0.0009177422616630793,100,1
16,160,0.025405406951904297,0.0004168868181295693,0.0011210624361410737,100,1
17,160,0.2461559772491455,0.000356297503458336,0.0013551791198551655,100,1
18,160,0.030812501907348633,4.6212673623813316e-05,0.000959295139182359,100,1
19,160,0.046272993087768555,2.6557445380603895e-05,0.0010239670518785715,100,1
