query,n_removed,baseline_loss,filtered_loss,loss_change
0,160,3.403837203979492,3.464214563369751,0.06037735939025879
1,160,3.5297045707702637,3.591024398803711,0.061319828033447266
2,160,3.4405758380889893,3.558903932571411,0.11832809448242188
3,160,2.992389678955078,3.0902822017669678,0.09789252281188965
4,160,2.833263397216797,2.9186089038848877,0.08534550666809082
5,160,3.327500820159912,3.4209022521972656,0.09340143203735352
6,160,3.3199610710144043,3.3927745819091797,0.07281351089477539
7,160,3.3468565940856934,3.461606740951538,0.11475014686584473
8,160,3.0533640384674072,3.1330838203430176,0.07971978187561035
9,160,3.269296646118164,3.342264413833618,0.0729677677154541
10,160,3.487030506134033,3.5753374099731445,0.08830690383911133
11,160,3.1243228912353516,3.232210874557495,0.10788798332214355
12,160,3.3321328163146973,3.4345552921295166,0.10242247581481934
13,160,3.8016645908355713,3.870121479034424,0.06845688819885254
14,160,3.6423542499542236,3.7131540775299072,0.0707998275756836
15,160,3.5614993572235107,3.6562182903289795,0.09471893310546875
16,160,3.919440984725952,3.9830775260925293,0.06363654136657715
17,160,3.552053928375244,3.895409107208252,0.3433551788330078
18,160,2.904778003692627,2.975515127182007,0.07073712348937988
19,160,2.5195000171661377,2.610762357711792,0.0912623405456543
