query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.8786784857069108,1.6021748505671575e-06,0.9094650509883632,1.7030088427404095e-07,18,3.403837203979492
1,0.9112487100103198,1.4607836787089582e-07,0.9692084115232648,3.6891504144484494e-11,18,3.5297045707702637
2,0.977296181630547,3.306053446887459e-12,0.9882933563478477,1.709788166236902e-14,18,3.4405758380889893
3,0.8802889576883385,1.4473368008429343e-06,0.9205473331105802,6.209660358572669e-08,18,2.99238920211792
4,0.9525283797729618,1.1169590316176138e-09,0.9758490766675949,5.395284178750951e-12,18,2.833263397216797
5,0.9050567595459237,2.455885947367799e-07,0.9705936472711114,2.5638579916002516e-11,18,3.3275012969970703
6,0.9422084623323013,5.214680253289582e-09,0.9717542269906458,1.864572462704597e-11,18,3.319962501525879
7,0.954592363261094,7.878415255888484e-10,0.9854427922782335,9.688027262009465e-14,18,3.3468568325042725
8,0.9711042311661506,2.2322196490619916e-11,0.9757507696506438,5.571779528093225e-12,18,3.0533645153045654
9,0.8926728586171312,6.290980659201078e-07,0.7575066197275865,0.0002716282854151228,18,3.2692971229553223
10,0.9463364293085655,2.920505577185136e-09,0.9461917539336994,2.9827188326534467e-09,18,3.487029790878296
11,0.9607843137254902,2.486567034523802e-10,0.9763362039137756,4.590758278377795e-12,18,3.1243228912353516
12,0.8472652218782251,9.114947353087219e-06,0.9866205839696648,4.9511778748190074e-14,18,3.3321316242218018
13,0.9607843137254902,2.486567034523802e-10,0.9620034815130631,1.9388572330493926e-10,18,3.8016650676727295
14,0.9133126934984519,1.2182182797478754e-07,0.9600911338009132,2.854464855342564e-10,18,3.6423544883728027
15,0.9566563467492261,5.465780663610633e-10,0.9595716019455305,3.1604441997036684e-10,18,3.5614993572235107
16,0.9607843137254902,2.486567034523802e-10,0.9724159212633496,1.5456950741464213e-11,18,3.9194414615631104
17,0.9731682146542827,1.2418823458351734e-11,0.9799595861345661,1.228577675662492e-12,18,3.552053928375244
18,0.9607843137254902,2.486567034523802e-10,0.9848758220742807,1.3128472183322518e-13,18,2.904778003692627
19,0.9525283797729618,1.1169590316176138e-09,0.9824081079945856,4.364993380322856e-13,18,2.519500255584717
