query,n_removed,baseline_loss,filtered_loss,loss_change
0,160,3.1259796619415283,3.1556382179260254,0.02965855598449707
1,160,3.3111376762390137,3.345118999481201,0.0339813232421875
2,160,3.180311441421509,3.242506742477417,0.0621953010559082
3,160,2.6619343757629395,2.7021560668945312,0.0402216911315918
4,160,2.552051305770874,2.5937607288360596,0.04170942306518555
5,160,3.0823538303375244,3.13120174407959,0.04884791374206543
6,160,2.9665780067443848,3.0102481842041016,0.0436701774597168
7,160,2.969621181488037,3.028038501739502,0.058417320251464844
8,160,2.7455496788024902,2.785970687866211,0.0404210090637207
9,160,3.012997627258301,3.0627036094665527,0.04970598220825195
10,160,3.1667139530181885,3.215005397796631,0.04829144477844238
11,160,2.8124053478240967,2.8740720748901367,0.06166672706604004
12,160,2.941852569580078,3.0038645267486572,0.0620119571685791
13,160,3.601318597793579,3.6308491230010986,0.02953052520751953
14,160,3.462207317352295,3.4843504428863525,0.022143125534057617
15,160,3.329441547393799,3.350369930267334,0.020928382873535156
16,160,3.710137128829956,3.7295260429382324,0.019388914108276367
17,160,3.294914484024048,3.4755618572235107,0.1806473731994629
18,160,2.6119680404663086,2.634645700454712,0.02267765998840332
19,160,2.2980871200561523,2.3435254096984863,0.045438289642333984
