query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.02965855598449707,-7.807016663718969e-05,0.0007725628092885017,100,1
1,160,0.0339813232421875,0.000362799153663218,0.0009583006030879915,100,1
2,160,0.0621953010559082,0.00010960102372337133,0.0014111754717305303,100,1
3,160,0.0402216911315918,0.0003414154052734375,0.0010145275155082345,100,1
4,160,0.04170942306518555,9.845018212217838e-05,0.0009540622122585773,100,1
5,160,0.04884791374206543,0.00020593882072716951,0.0012850337661802769,100,1
6,160,0.0436701774597168,0.0005740070482715964,0.0011801018845289946,100,1
7,160,0.058417320251464844,0.0009303903789259493,0.0014437481295317411,100,1
8,160,0.0404210090637207,-0.0002874541387427598,0.001068013720214367,100,1
9,160,0.04970598220825195,0.0004942441009916365,0.0013681580312550068,100,1
10,160,0.04829144477844238,0.00011792659643106163,0.001259633107110858,100,1
11,160,0.06166672706604004,0.0005776405450887978,0.001108418102376163,100,1
12,160,0.0620119571685791,0.0007314419490285218,0.0032540466636419296,100,1
13,160,0.02953052520751953,-0.0006212783046066761,0.0010929625714197755,100,1
14,160,0.022143125534057617,-2.4049282728810795e-05,0.000931479677092284,100,1
15,160,0.020928382873535156,0.0001277422852581367,0.0007864723447710276,100,1
16,160,0.019388914108276367,0.0002153348905267194,0.0007798447622917593,100,1
17,160,0.1806473731994629,0.0002643251500558108,0.0015573888085782528,100,1
18,160,0.02267765998840332,6.55508047202602e-05,0.0008670183015055954,100,1
19,160,0.045438289642333984,-0.000818977365270257,0.0017431669402867556,100,1
