subset,query,n_removed,baseline_loss,filtered_loss,loss_change
0,0,160,3.1259796619415283,3.1268484592437744,0.0008687973022460938
0,1,160,3.3111376762390137,3.311157464981079,1.9788742065429688e-05
0,2,160,3.180311441421509,3.1808550357818604,0.0005435943603515625
0,3,160,2.6619343757629395,2.662912607192993,0.000978231430053711
0,4,160,2.5520505905151367,2.553083896636963,0.0010333061218261719
0,5,160,3.0823538303375244,3.0831892490386963,0.000835418701171875
0,6,160,2.9665775299072266,2.9671273231506348,0.0005497932434082031
0,7,160,2.969621419906616,2.970416307449341,0.0007948875427246094
0,8,160,2.7455496788024902,2.747074842453003,0.0015251636505126953
0,9,160,3.012997627258301,3.0158839225769043,0.0028862953186035156
0,10,160,3.1667139530181885,3.166435956954956,-0.0002779960632324219
0,11,160,2.8124051094055176,2.810636043548584,-0.0017690658569335938
0,12,160,2.941852569580078,2.94181752204895,-3.504753112792969e-05
0,13,160,3.601318597793579,3.599518060684204,-0.001800537109375
0,14,160,3.462207317352295,3.4624311923980713,0.0002238750457763672
0,15,160,3.3294408321380615,3.3285176753997803,-0.00092315673828125
0,16,160,3.710137128829956,3.7094526290893555,-0.0006844997406005859
0,17,160,3.294914484024048,3.2950408458709717,0.00012636184692382812
0,18,160,2.6119680404663086,2.6101019382476807,-0.0018661022186279297
0,19,160,2.2980871200561523,2.2965400218963623,-0.001547098159790039
1,0,160,3.1259796619415283,3.1262104511260986,0.0002307891845703125
1,1,160,3.3111376762390137,3.311347723007202,0.00021004676818847656
1,2,160,3.180311441421509,3.1808695793151855,0.0005581378936767578
1,3,160,2.6619343757629395,2.662902355194092,0.0009679794311523438
1,4,160,2.5520505905151367,2.5527727603912354,0.0007221698760986328
1,5,160,3.0823538303375244,3.0810210704803467,-0.0013327598571777344
1,6,160,2.9665775299072266,2.9667105674743652,0.00013303756713867188
1,7,160,2.969621419906616,2.9710464477539062,0.001425027847290039
1,8,160,2.7455496788024902,2.7447891235351562,-0.0007605552673339844
1,9,160,3.012997627258301,3.012917995452881,-7.963180541992188e-05
1,10,160,3.1667139530181885,3.167001247406006,0.0002872943878173828
1,11,160,2.8124051094055176,2.814011812210083,0.0016067028045654297
1,12,160,2.941852569580078,2.9508626461029053,0.009010076522827148
1,13,160,3.601318597793579,3.6011245250701904,-0.00019407272338867188
1,14,160,3.462207317352295,3.461559534072876,-0.0006477832794189453
1,15,160,3.3294408321380615,3.3283755779266357,-0.0010652542114257812
1,16,160,3.710137128829956,3.709437370300293,-0.0006997585296630859
1,17,160,3.294914484024048,3.2944421768188477,-0.0004723072052001953
1,18,160,2.6119680404663086,2.6117074489593506,-0.0002605915069580078
1,19,160,2.2980871200561523,2.299985647201538,0.0018985271453857422
2,0,160,3.1259796619415283,3.126497745513916,0.0005180835723876953
2,1,160,3.3111376762390137,3.3109045028686523,-0.00023317337036132812
2,2,160,3.180311441421509,3.181574583053589,0.0012631416320800781
2,3,160,2.6619343757629395,2.661201238632202,-0.0007331371307373047
2,4,160,2.5520505905151367,2.550584554672241,-0.0014660358428955078
2,5,160,3.0823538303375244,3.082533359527588,0.00017952919006347656
2,6,160,2.9665775299072266,2.968433380126953,0.0018558502197265625
2,7,160,2.969621419906616,2.971527338027954,0.0019059181213378906
2,8,160,2.7455496788024902,2.7460689544677734,0.0005192756652832031
2,9,160,3.012997627258301,3.011759042739868,-0.0012385845184326172
2,10,160,3.1667139530181885,3.1657238006591797,-0.000990152359008789
2,11,160,2.8124051094055176,2.811244487762451,-0.0011606216430664062
2,12,160,2.941852569580078,2.9420084953308105,0.00015592575073242188
2,13,160,3.601318597793579,3.6006574630737305,-0.0006611347198486328
2,14,160,3.462207317352295,3.461029529571533,-0.0011777877807617188
2,15,160,3.3294408321380615,3.3315229415893555,0.0020821094512939453
2,16,160,3.710137128829956,3.7108025550842285,0.0006654262542724609
2,17,160,3.294914484024048,3.295470952987671,0.0005564689636230469
2,18,160,2.6119680404663086,2.6108062267303467,-0.001161813735961914
