query,n_removed,baseline_loss,filtered_loss,loss_change
0,160,3.6229445934295654,3.662590980529785,0.03964638710021973
1,160,3.680558204650879,3.7099196910858154,0.029361486434936523
2,160,3.6227216720581055,3.695643663406372,0.0729219913482666
3,160,3.1498072147369385,3.1830313205718994,0.03322410583496094
4,160,2.9871938228607178,3.02470064163208,0.037506818771362305
5,160,3.5283491611480713,3.5815982818603516,0.05324912071228027
6,160,3.502077102661133,3.5334596633911133,0.03138256072998047
7,160,3.502817392349243,3.5331649780273438,0.030347585678100586
8,160,3.197089672088623,3.222931146621704,0.025841474533081055
9,160,3.420652389526367,3.4577348232269287,0.03708243370056152
10,160,3.6439313888549805,3.6950461864471436,0.051114797592163086
11,160,3.2363147735595703,3.3248565196990967,0.08854174613952637
12,160,3.4860000610351562,3.5847527980804443,0.09875273704528809
13,160,3.962362289428711,3.9941468238830566,0.0317845344543457
14,160,3.8877689838409424,3.900768280029297,0.012999296188354492
15,160,3.7099976539611816,3.7235984802246094,0.013600826263427734
16,160,4.12708044052124,4.133842468261719,0.006762027740478516
17,160,3.7684454917907715,3.8775551319122314,0.10910964012145996
18,160,3.180039405822754,3.2079269886016846,0.027887582778930664
19,160,2.7798352241516113,2.8116700649261475,0.03183484077453613
