query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.9454933858229949,1.5049297109024266e-49,0.9473049226567828,3.0007548957368395e-50,100,3.458110809326172
1,0.9587518751875187,2.426219708036013e-55,0.9678907174603363,1.4126928184364293e-60,100,3.5578880310058594
2,0.9368464951932209,1.6599225182638663e-46,0.9462403489819531,7.792994253405872e-50,100,3.535856008529663
3,0.9439543954395438,5.67404255750352e-49,0.9396409482736341,1.933779958516412e-47,100,3.0593135356903076
4,0.9252352992399855,4.8874243439549195e-43,0.9182251983826455,3.325837664890138e-41,100,2.8828608989715576
5,0.9403780378037803,1.0781730199317551e-47,0.9409599322541257,6.762311075484052e-48,100,3.45139217376709
6,0.9157270670855959,1.366741318088788e-40,0.9490594704530954,5.956443571991384e-51,100,3.386770009994507
7,0.961068106810681,1.5108401549973462e-56,0.9675410021406443,2.381990476998101e-60,100,3.399176597595215
8,0.9289676836755993,4.353085167607918e-44,0.9351818694800202,5.7042484788695734e-46,100,3.1336073875427246
9,0.8879834623006132,7.841392672988739e-35,0.8974309088958246,1.3216492459051476e-36,100,3.3452210426330566
10,0.9155235523552353,1.5305549494166475e-40,0.9527477089078592,1.6375034919569768e-52,100,3.5678391456604004
11,0.9691209120912091,2.1451912933211046e-61,0.9709686983989755,1.0902252277044291e-62,100,3.184070348739624
12,0.9674316454638364,2.801431698523863e-60,0.9955591120057705,2.169200469323397e-102,100,3.380073070526123
13,0.9401380138013801,1.3051556651017893e-47,0.9451403761120516,2.047342475291055e-49,100,3.85552716255188
14,0.9635163516351635,6.645565841241396e-58,0.9617511182462497,6.451708814935072e-57,100,3.7000691890716553
15,0.9486228622862285,8.954285958025544e-51,0.9586090550887073,2.8641592252480735e-55,100,3.5749027729034424
16,0.9627362736273626,1.8392174835163605e-57,0.9676619149958184,1.989642226230585e-60,100,3.990009069442749
17,0.9836423642364235,9.125315903101258e-75,0.9902926463217088,8.399276033573301e-86,100,3.735006809234619
18,0.9476176046175402,2.2586930972011106e-50,0.945764991972508,1.1859315378659553e-49,100,2.941749095916748
19,0.9526461225549103,1.8147697187205757e-52,0.9300513652678488,2.1042353747079022e-44,100,2.541947841644287
