query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.06473088264465332,-0.00014591217041015625,0.0009479104774072766,100,1
1,160,0.06258392333984375,1.2810230145987589e-05,0.0012042889138683677,100,1
2,160,0.10878586769104004,0.0002817273198161274,0.0012976574944332242,100,1
3,160,0.09331965446472168,0.00020716190920211375,0.001359250396490097,100,1
4,160,0.07528924942016602,4.6005250624148175e-05,0.0009933523833751678,100,1
5,160,0.08598828315734863,0.00036833525518886745,0.0012163253268226981,100,1
6,160,0.07102203369140625,-5.53131121705519e-06,0.0013141307281330228,100,1
7,160,0.09847307205200195,0.0002483511052560061,0.0013293015072122216,100,1
8,160,0.07392072677612305,0.0001409935939591378,0.0010731705697253346,100,1
9,160,0.07501792907714844,0.00012476921256165951,0.001107557793147862,100,1
10,160,0.08372735977172852,0.00033102513407357037,0.0010763363679870963,100,1
11,160,0.10952258110046387,0.0005306792445480824,0.0013979608193039894,100,1
12,160,0.08873987197875977,0.000803608912974596,0.0030104557517915964,100,1
13,160,0.0711817741394043,0.00011184453614987433,0.0011828663991764188,100,1
14,160,0.06339168548583984,0.00017345667583867908,0.0011184868635609746,100,1
15,160,0.08327555656433105,0.00021799087699037045,0.0008463264675810933,100,1
16,160,0.06007957458496094,0.0004556035855785012,0.0010726244654506445,100,1
17,160,0.2978951930999756,0.0007030749111436307,0.0025165460538119078,100,1
18,160,0.06406188011169434,-9.268522262573242e-05,0.0009557199664413929,100,1
19,160,0.08729052543640137,-0.0001772141404217109,0.00120416225399822,100,1
