query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.9467266726672666,5.051481071011048e-50,0.9397000429084528,1.8457966203241353e-47,100,3.412421941757202
1,0.9526672667266726,1.7763903145399703e-52,0.9640361351482228,3.3309804252137444e-58,100,3.5449514389038086
2,0.9469426942694267,4.1611776082890696e-50,0.9520478490693584,3.3093448167802702e-52,100,3.4617133140563965
3,0.9215601560156014,4.691077384951744e-42,0.9260960331836359,2.829983256600235e-43,100,3.000497817993164
4,0.9311459080327178,9.977809005587968e-45,0.9526690498208579,1.7731903271551133e-52,100,2.8379697799682617
5,0.9354095409540953,4.827477074412611e-46,0.944730382331978,2.919691035242866e-49,100,3.34832501411438
6,0.9417941794179417,3.435756714123211e-48,0.9633217111187724,8.5849483587645e-58,100,3.339444637298584
7,0.9384338433843382,4.955496600519911e-47,0.9619137495013311,5.256435880182785e-57,100,3.3506078720092773
8,0.9110498381374282,1.71913906792319e-39,0.9351117147448283,6.004527417477776e-46,100,3.0590333938598633
9,0.9466906690669067,5.216970210877855e-50,0.933427050569676,2.0237335686294142e-45,100,3.2808921337127686
10,0.9304650465046503,1.5894200877232315e-44,0.9449179624729835,2.4828952514781703e-49,100,3.5031912326812744
11,0.9537593759375936,5.810230723573998e-53,0.9604966813437769,3.0432976279303373e-56,100,3.141066312789917
12,0.9660246024602459,2.151998242687967e-59,0.9965485785747137,9.60077494663444e-108,100,3.339725971221924
13,0.8980224963211625,1.0101281982822717e-36,0.9047886148742652,4.130122012696994e-38,100,3.805159091949463
14,0.9475215947285212,2.4650154853864506e-50,0.9576643644322295,8.460302077653177e-55,100,3.638681173324585
15,0.9295169516951695,3.0158616098940364e-44,0.9401546708431782,1.2879981284540085e-47,100,3.5613021850585938
16,0.9533273327332732,9.06958188136336e-53,0.9626458643175526,2.066620884535371e-57,100,3.9213850498199463
17,0.9857785778577857,1.0095603076361881e-77,0.9912611733451258,4.982420123970067e-88,100,3.5919089317321777
18,0.9349923042115416,6.551565887308695e-46,0.9554827249064041,9.41734419628755e-54,100,2.910109519958496
19,0.9478067806780677,1.9004094673894697e-50,0.9457492004137286,1.2025116731885113e-49,100,2.503492593765259
