query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.7999999999999999,0.2000000000000001,0.9211348779625701,0.0788651220374299,4,3.41260027885437
1,0.7999999999999999,0.2000000000000001,0.9969671455286442,0.003032854471355817,4,3.5448262691497803
2,0.7999999999999999,0.2000000000000001,0.7560691834640731,0.24393081653592685,4,3.4616470336914062
3,0.7999999999999999,0.2000000000000001,0.9234195253839621,0.0765804746160379,4,3.000422954559326
4,1.0,0.0,0.9945258446324818,0.005474155367518163,4,2.837808132171631
5,1.0,0.0,0.9076044701700748,0.09239552982992505,4,3.348289728164673
6,1.0,0.0,0.9985908324234141,0.0014091675765859346,4,3.339240312576294
7,0.7999999999999999,0.2000000000000001,0.809829213223342,0.190170786776658,4,3.3503782749176025
8,1.0,0.0,0.9411650828309861,0.0588349171690139,4,3.05912446975708
9,0.0,1.0,0.1852371042351526,0.8147628957648474,4,3.2810802459716797
10,0.7999999999999999,0.2000000000000001,0.9152010470114451,0.08479895298855489,4,3.5030710697174072
11,0.39999999999999997,0.6,0.9845623694790889,0.015437630520910961,4,3.1409268379211426
12,1.0,0.0,0.9974104156227566,0.002589584377243437,4,3.339482307434082
13,0.39999999999999997,0.6,0.6836312103132016,0.3163687896867984,4,3.8050894737243652
14,0.7999999999999999,0.2000000000000001,0.8396142859027509,0.1603857140972491,4,3.6385679244995117
15,0.7999999999999999,0.2000000000000001,0.9228304532343815,0.0771695467656186,4,3.5610849857330322
16,0.7999999999999999,0.2000000000000001,0.9656826522978831,0.03431734770211703,4,3.9213123321533203
17,1.0,0.0,0.9734254144914858,0.026574585508514215,4,3.591648817062378
18,0.6000000000000001,0.4,0.4350365501985778,0.5649634498014222,4,2.910116672515869
19,1.0,0.0,0.970977065277606,0.029022934722394034,4,2.503587245941162
