query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,40,0.010596990585327148,9.425481403013691e-05,0.0002477852103766054,3,1
1,40,0.008406639099121094,5.14984130859375e-05,6.688480425509624e-06,3,1
2,40,0.008547306060791016,-5.690256875823252e-05,8.70826406753622e-05,3,1
3,40,0.011385679244995117,0.00014011065650265664,7.186029688455164e-05,3,1
4,40,0.008056163787841797,0.00013764698815066367,0.00013820060121361166,3,1
5,40,0.010665416717529297,-9.11553725018166e-05,4.106363485334441e-05,3,1
6,40,0.003475666046142578,6.127357482910156e-05,9.575912554282695e-05,3,1
7,40,0.0025510787963867188,0.00022085507225710899,9.18902806006372e-05,3,1
8,40,0.004217386245727539,-7.232030384329846e-06,5.109968697070144e-05,3,1
9,40,0.008490324020385742,7.494290912291035e-05,0.0001791290706023574,3,1
10,40,0.007672309875488281,-9.854634299699683e-06,8.47071860334836e-05,3,1
11,40,0.01749897003173828,5.984306335449219e-05,8.92459720489569e-05,3,1
12,40,0.1926124095916748,-2.9404957331280457e-06,0.00017423005192540586,3,1
13,40,0.0050547122955322266,-0.000186920166015625,0.00014419869694393128,3,1
14,40,0.005463361740112305,5.8333080232841894e-05,0.00024219552869908512,3,1
15,40,0.006778717041015625,0.00026702880859375,0.000260879605775699,3,1
16,40,0.010405302047729492,0.0001437664031982422,0.00011123778676846996,3,1
17,40,0.010999917984008789,-1.9788742065429688e-05,0.00010285875760018826,3,1
18,40,0.007203102111816406,0.00012334187340456992,3.080801252508536e-05,3,1
19,40,0.02914595603942871,-6.731351459166035e-05,4.515205364441499e-05,3,1
