query,n_removed,baseline_loss,filtered_loss,loss_change
0,320,3.4060041904449463,3.4862587451934814,0.08025455474853516
1,320,3.5302278995513916,3.6123838424682617,0.08215594291687012
2,320,3.4479339122772217,3.5627760887145996,0.11484217643737793
3,320,2.99041485786438,3.0852696895599365,0.09485483169555664
4,320,2.8394579887390137,2.9293651580810547,0.08990716934204102
5,320,3.330832004547119,3.4441232681274414,0.11329126358032227
6,320,3.3178443908691406,3.412134885787964,0.09429049491882324
7,320,3.3415353298187256,3.4496865272521973,0.10815119743347168
8,320,3.0509581565856934,3.1558778285980225,0.1049196720123291
9,320,3.275113105773926,3.3698344230651855,0.09472131729125977
10,320,3.489504098892212,3.587700128555298,0.09819602966308594
11,320,3.0907931327819824,3.226588249206543,0.13579511642456055
12,320,3.327287435531616,3.4357316493988037,0.1084442138671875
13,320,3.802206039428711,3.891195297241211,0.0889892578125
14,320,3.626140832901001,3.7079594135284424,0.0818185806274414
15,320,3.564517021179199,3.6549694538116455,0.09045243263244629
16,320,3.9106411933898926,3.9860591888427734,0.07541799545288086
17,320,3.5231335163116455,3.6047487258911133,0.08161520957946777
18,320,2.905329942703247,2.9915771484375,0.08624720573425293
19,320,2.5039196014404297,2.634963274002075,0.1310436725616455
