query,n_removed,baseline_loss,filtered_loss,loss_change
0,40,3.406003713607788,3.422445774078369,0.016442060470581055
1,40,3.53022837638855,3.5450427532196045,0.014814376831054688
2,40,3.447934150695801,3.4805126190185547,0.032578468322753906
3,40,2.990415096282959,3.0091254711151123,0.01871037483215332
4,40,2.8394579887390137,2.8549256324768066,0.015467643737792969
5,40,3.3308308124542236,3.354414939880371,0.02358412742614746
6,40,3.3178446292877197,3.3375468254089355,0.01970219612121582
7,40,3.3415346145629883,3.364229679107666,0.022695064544677734
8,40,3.050957679748535,3.0643467903137207,0.013389110565185547
9,40,3.275113582611084,3.2917966842651367,0.016683101654052734
10,40,3.489504337310791,3.5105183124542236,0.021013975143432617
11,40,3.0907938480377197,3.1327266693115234,0.04193282127380371
12,40,3.32728910446167,3.3703713417053223,0.043082237243652344
13,40,3.8022048473358154,3.8123223781585693,0.010117530822753906
14,40,3.6261401176452637,3.637484073638916,0.011343955993652344
15,40,3.5645179748535156,3.571552038192749,0.0070340633392333984
16,40,3.9106414318084717,3.9183411598205566,0.007699728012084961
17,40,3.5231335163116455,3.5346109867095947,0.011477470397949219
18,40,2.905330181121826,2.9178974628448486,0.012567281723022461
19,40,2.503917932510376,2.5175719261169434,0.013653993606567383
