query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,40,0.02567124366760254,-8.630752563476562e-05,0.0003831317590083927,3,1
1,40,0.02228236198425293,0.00038623809814453125,0.000872692558914423,3,1
2,40,0.04430747032165527,0.00028928121901117265,0.0003949207894038409,3,1
3,40,0.026253938674926758,9.934107765730005e-06,0.00040667783468961716,3,1
4,40,0.017035484313964844,7.088979327818379e-05,0.00042268543620593846,3,1
5,40,0.032097578048706055,8.273124694824219e-05,0.00018128781812265515,3,1
6,40,0.026810884475708008,0.00019772847008425742,0.00017749080143403262,3,1
7,40,0.03267717361450195,-5.0703685701591894e-05,0.00024994483101181686,3,1
8,40,0.026646852493286133,-4.927317422698252e-05,8.507145685143769e-05,3,1
9,40,0.026798009872436523,9.671846783021465e-05,0.00026024130056612194,3,1
10,40,0.027776718139648438,2.7577081709750928e-05,4.145559159951517e-06,3,1
11,40,0.05139899253845215,-0.00023333232093136758,0.0007366498466581106,3,1
12,40,0.049524545669555664,4.609426014212659e-06,0.0005872129113413393,3,1
13,40,0.02482318878173828,-0.00010172525799134746,0.0004034550511278212,3,1
14,40,0.018864870071411133,-0.0002125104219885543,0.00029960236861370504,3,1
15,40,0.028920412063598633,0.0002956390380859375,0.0004872098215855658,3,1
16,40,0.015947818756103516,0.00032289823866449296,0.0001640209520701319,3,1
17,40,0.024240493774414062,0.0003204345703125,0.0002898496459238231,3,1
18,40,0.01855301856994629,1.041094492393313e-05,0.00018437979451846331,3,1
19,40,0.03171873092651367,0.00035278001450933516,0.0006121071055531502,3,1
