query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,40,0.025670289993286133,-8.789698040345684e-05,0.0003827134787570685,3,1
1,40,0.022283554077148438,0.0003873507084790617,0.0008725216030143201,3,1
2,40,0.04430794715881348,0.00028999647474847734,0.0003949207894038409,3,1
3,40,0.026253938674926758,1.0093052878801245e-05,0.00040692745824344456,3,1
4,40,0.021720170974731445,0.0001324017794104293,0.0001786043867468834,3,1
5,40,0.035182952880859375,9.00427476153709e-05,0.0002543871814850718,3,1
6,40,0.026810884475708008,0.00019804637122433633,0.0001777413854142651,3,1
7,40,0.032675981521606445,-5.125999450683594e-05,0.00025062556960619986,3,1
8,40,0.026646137237548828,-4.855791848967783e-05,8.635043923277408e-05,3,1
9,40,0.026798725128173828,9.775161743164062e-05,0.0002601103042252362,3,1
