query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.9384615384615383,4.193338858401601e-12,0.9490319750615038,5.058501925571935e-13,25,3.40600323677063
1,0.9646153846153847,8.218109934217622e-15,0.9704441862349505,1.0670859001949306e-15,25,3.5302281379699707
2,0.9123076923076923,2.1614708951058108e-10,0.9783109771782628,3.156834054343292e-17,25,3.447934627532959
3,0.9176923076923077,1.0714712558883637e-10,0.9570177840873197,7.413372229646468e-14,25,2.990414619445801
4,0.9692307692307693,1.6848772944112928e-15,0.9674796121208276,3.1571379407269423e-15,25,2.8394582271575928
5,0.920176974128789,7.625880515257229e-11,0.9461985659209843,9.29278272371407e-13,25,3.3308308124542236
6,0.9569230769230769,7.599865990130391e-14,0.9281927529474114,2.350348069457537e-11,25,3.317843437194824
7,0.9707692307692307,9.411507138699705e-16,0.984582851210243,6.423932525856865e-19,25,3.341533660888672
8,0.7792307692307692,4.436262495819452e-06,0.9140226958079121,1.737173142720436e-10,25,3.0509586334228516
9,0.8884615384615385,3.0466176521302408e-09,0.9494220292977593,4.639698526723332e-13,25,3.275113582611084
10,0.9676923076923077,2.93071498002313e-15,0.9841324162997273,8.926416364055561e-19,25,3.48950457572937
11,0.9784615384615385,2.915946302326843e-17,0.9807020790688019,8.335340495149658e-18,25,3.0907928943634033
12,0.9323076923076923,1.2170206654189697e-11,0.9956106306470542,3.602553033302597e-25,25,3.327288866043091
13,0.96,3.290440254570354e-14,0.9550308343793367,1.2344306988854887e-13,25,3.8022046089172363
14,0.9415384615384615,2.3605155328203274e-12,0.9541289833421973,1.54421531805155e-13,25,3.626140594482422
15,0.9569230769230769,7.599865990130391e-14,0.9769513820707266,6.309986145000055e-17,25,3.5645182132720947
16,0.9076923076923077,3.809402584567419e-10,0.9505045293246518,3.6371159795035765e-13,25,3.9106411933898926
17,0.9361538461538461,6.330648316207178e-12,0.8660713094958059,2.2279385776064326e-08,25,3.5231332778930664
18,0.9307692307692308,1.5639071669720812e-11,0.9429047118907921,1.8106779844042925e-12,25,2.9053304195404053
19,0.8746153846153846,1.0905441552410351e-08,0.9460308982511683,9.62334609607905e-13,25,2.503917932510376
