query,n_removed,baseline_loss,filtered_loss,loss_change
0,320,3.2843823432922363,3.4506731033325195,0.1662907600402832
1,320,3.4386813640594482,3.5714540481567383,0.13277268409729004
2,320,3.2796037197113037,3.5101418495178223,0.23053812980651855
3,320,2.874751567840576,3.040832996368408,0.16608142852783203
4,320,2.723968744277954,2.882953643798828,0.15898489952087402
5,320,3.131362199783325,3.3937485218048096,0.2623863220214844
6,320,3.113525390625,3.3726437091827393,0.25911831855773926
7,320,3.181161880493164,3.4035568237304688,0.2223949432373047
8,320,2.904252767562866,3.097316026687622,0.19306325912475586
9,320,3.106174945831299,3.327687978744507,0.221513032913208
