query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,-0.5,0.6666666666666666,0.3753081022052085,0.7550738143279784,3,3.1674697399139404
1,-1.0,0.0,-0.892649216105359,0.29768825054489095,3,3.2886006832122803
2,1.0,0.0,0.8494402286249714,0.35387958146702125,3,3.073645830154419
3,1.0,0.0,0.9801130310314377,0.12717501303831,3,2.5796148777008057
4,-0.5,0.6666666666666666,-0.2651169531683507,0.8291788634696763,3,2.5135111808776855
5,1.0,0.0,0.9998099037744793,0.012413342769800105,3,2.944453716278076
6,-1.0,0.0,-0.9293249080191442,0.24077973471538328,3,2.963205575942993
7,0.5,0.6666666666666666,0.11145465634308035,0.9288980341725235,3,2.9055099487304688
8,0.5,0.6666666666666666,0.7241581068850058,0.48445714177653143,3,2.763819932937622
9,1.0,0.0,0.9978789559976915,0.041471214398560156,3,2.9005539417266846
10,1.0,0.0,0.6207576571610047,0.5736501805928146,3,3.0795979499816895
11,-0.5,0.6666666666666666,-0.6666487911539041,0.5354562131832283,3,2.5844311714172363
12,-0.5,0.6666666666666666,-0.9621192637809726,0.1757862483543888,3,2.8182766437530518
13,-1.0,0.0,-0.897991627327926,0.290052015315638,3,3.536208391189575
14,1.0,0.0,0.9898193167741086,0.09091859669775586,3,3.348825693130493
15,0.5,0.6666666666666666,0.4002665377781581,0.7378350878067654,3,3.2967777252197266
16,0.5,0.6666666666666666,0.3378127218561584,0.7806258980731989,3,3.6784446239471436
17,-1.0,0.0,-0.9864249017155161,0.10501688656377699,3,3.192108392715454
18,1.0,0.0,0.8081886914232201,0.4008962521801797,3,2.528818130493164
19,-1.0,0.0,-0.9898582661789409,0.09074421555512348,3,2.0937418937683105
