query,n_removed,baseline_loss,filtered_loss,loss_change
0,5120,3.2681684494018555,3.488774299621582,0.22060585021972656
1,5120,3.413797378540039,3.6809089183807373,0.26711153984069824
2,5120,3.2602455615997314,3.579745292663574,0.3194997310638428
3,5120,2.801914930343628,3.0859732627868652,0.2840583324432373
4,5120,2.694676637649536,2.968797445297241,0.2741208076477051
5,5120,3.0889081954956055,3.4295639991760254,0.3406558036804199
6,5120,3.1228935718536377,3.410404682159424,0.28751111030578613
7,5120,3.1510419845581055,3.4792895317077637,0.3282475471496582
8,5120,2.9171316623687744,3.192603826522827,0.27547216415405273
9,5120,3.087700128555298,3.411510467529297,0.323810338973999
10,5120,3.2961511611938477,3.6163153648376465,0.32016420364379883
11,5120,2.8291871547698975,3.1488335132598877,0.31964635848999023
12,5120,3.087320327758789,3.41807222366333,0.330751895904541
13,5120,3.657747268676758,3.857973575592041,0.2002263069152832
14,5120,3.4712252616882324,3.7051401138305664,0.23391485214233398
15,5120,3.426279067993164,3.6775994300842285,0.25132036209106445
16,5120,3.7656331062316895,3.9903347492218018,0.2247016429901123
17,5120,3.330321788787842,3.6160507202148438,0.28572893142700195
18,5120,2.7123959064483643,3.0559630393981934,0.3435671329498291
19,5120,2.301109552383423,2.624213457107544,0.3231039047241211
