query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,5120,0.22060585021972656,0.0029541651407877603,0.0008394370567956782,3,1
1,5120,0.26711153984069824,0.0036504268646240234,0.0028701732857016288,3,1
2,5120,0.3194997310638428,-0.004515806833902995,0.0029133939237484282,3,1
3,5120,0.2840583324432373,0.0010286966959635417,0.00127248552952087,3,1
4,5120,0.2741208076477051,-0.0035107930501302085,0.0011950109133456522,3,1
5,5120,0.3406558036804199,-0.0014511744181315105,0.0022220060584873308,3,1
6,5120,0.28751111030578613,-0.0008541742960611979,0.0003408999132148924,3,1
7,5120,0.3282475471496582,-0.0034311612447102866,0.004038686032136066,3,1
8,5120,0.27547216415405273,0.0009297529856363932,0.00460189455092433,3,1
9,5120,0.323810338973999,0.00434120496114095,0.006018189435790055,3,1
10,5120,0.32016420364379883,-0.004914442698160808,0.005037052186230297,3,1
11,5120,0.31964635848999023,0.00341645876566569,0.004622200845006878,3,1
12,5120,0.330751895904541,0.00583958625793457,0.003086364955104873,3,1
13,5120,0.2002263069152832,0.0017922719319661458,0.004526206659175171,3,1
14,5120,0.23391485214233398,-0.0008160273234049479,0.003629009270706215,3,1
15,5120,0.25132036209106445,0.0015149116516113281,0.0020157336038166174,3,1
16,5120,0.2247016429901123,0.001046578089396159,0.0065759624529746815,3,1
17,5120,0.28572893142700195,0.00042247772216796875,0.0026195972390253112,3,1
18,5120,0.3435671329498291,0.002772092819213867,0.004222654271835496,3,1
19,5120,0.3231039047241211,0.0009125868479410807,0.005741882641473953,3,1
