query,n_removed,baseline_loss,filtered_loss,loss_change
0,640,3.357680320739746,3.4405810832977295,0.0829007625579834
1,640,3.459583282470703,3.5772504806518555,0.11766719818115234
2,640,3.3510897159576416,3.497422695159912,0.1463329792022705
3,640,2.921156644821167,3.0392112731933594,0.11805462837219238
4,640,2.7821545600891113,2.890861988067627,0.10870742797851562
5,640,3.2146666049957275,3.3825573921203613,0.1678907871246338
6,640,3.235283374786377,3.364391565322876,0.12910819053649902
7,640,3.23669171333313,3.397653341293335,0.16096162796020508
8,640,2.9917726516723633,3.104438543319702,0.11266589164733887
9,640,3.181283950805664,3.328486680984497,0.147202730178833
10,640,3.385638475418091,3.5328338146209717,0.14719533920288086
11,640,3.0127909183502197,3.156186103820801,0.14339518547058105
12,640,3.262071371078491,3.396517276763916,0.1344459056854248
13,640,3.7588014602661133,3.830977439880371,0.07217597961425781
14,640,3.5571038722991943,3.6545650959014893,0.09746122360229492
15,640,3.5169332027435303,3.598443031311035,0.08150982856750488
16,640,3.85111403465271,3.9429895877838135,0.09187555313110352
17,640,3.456677198410034,3.5723469257354736,0.11566972732543945
18,640,2.828921318054199,2.9598228931427,0.13090157508850098
19,640,2.4184041023254395,2.5737693309783936,0.1553652286529541
