query,n_removed,baseline_loss,filtered_loss,loss_change
0,640,2.84321928024292,2.881685733795166,0.038466453552246094
1,640,2.8892574310302734,2.9289612770080566,0.0397038459777832
2,640,2.789679527282715,2.819550037384033,0.02987051010131836
3,640,2.8375191688537598,2.890413522720337,0.05289435386657715
4,640,3.4061965942382812,3.4500539302825928,0.04385733604431152
5,640,3.104580879211426,3.1389927864074707,0.03441190719604492
6,640,3.678107261657715,3.714890241622925,0.03678297996520996
7,640,3.6875853538513184,3.71685528755188,0.029269933700561523
8,640,3.7314891815185547,3.760963201522827,0.02947402000427246
9,640,3.484025239944458,3.526888608932495,0.04286336898803711
10,640,3.3544468879699707,3.392456293106079,0.0380094051361084
11,640,2.718174695968628,2.7592787742614746,0.04110407829284668
12,640,3.081460952758789,3.147523880004883,0.06606292724609375
13,640,3.348689079284668,3.381657361984253,0.03296828269958496
14,640,3.337376594543457,3.3794450759887695,0.0420684814453125
15,640,3.0380756855010986,3.1171658039093018,0.07909011840820312
16,640,3.363084316253662,3.398308753967285,0.03522443771362305
17,640,3.4700264930725098,3.5056703090667725,0.035643815994262695
18,640,3.63498592376709,3.6703298091888428,0.03534388542175293
19,640,3.953092575073242,3.9923274517059326,0.03923487663269043
