query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,640,0.038466453552246094,-0.0003341833653394133,0.00018428264593239874,3,1
1,640,0.0397038459777832,0.0001053015366778709,0.0009232264710590243,3,1
2,640,0.02987051010131836,2.5113424271694385e-05,0.0007882702630013227,3,1
3,640,0.05289435386657715,-0.00028673806809820235,0.0004034732992295176,3,1
4,640,0.04385733604431152,-0.0002041657717199996,0.0005728753167204559,3,1
5,640,0.03441190719604492,-0.0006422201986424625,0.00014123888104222715,3,1
6,640,0.03678297996520996,-1.3589859008789062e-05,0.0007092424784786999,3,1
7,640,0.029269933700561523,0.0004587968287523836,0.0010868619428947568,3,1
8,640,0.02947402000427246,3.2265979825751856e-05,0.0004882589273620397,3,1
9,640,0.04286336898803711,0.0004225572047289461,0.0007147131254896522,3,1
10,640,0.0380094051361084,0.00014511744666378945,0.0005489628529176116,3,1
11,640,0.04110407829284668,-0.0007326602935791016,0.0008092711796052754,3,1
12,640,0.06606292724609375,0.002515633823350072,0.0059542409144341946,3,1
13,640,0.03296828269958496,0.00012111663818359375,0.0005787755944766104,3,1
14,640,0.0420684814453125,0.0008678436279296875,0.00027067598421126604,3,1
15,640,0.07909011840820312,0.0007123152608983219,0.0007862598286010325,3,1
16,640,0.03522443771362305,-0.00025375685072503984,0.0006287300493568182,3,1
17,640,0.035643815994262695,0.00019327799964230508,0.0007480058120563626,3,1
18,640,0.03534388542175293,-0.0006275971536524594,0.00063324038637802,3,1
19,640,0.03923487663269043,-0.00027648606919683516,0.0010909510310739279,3,1
