subset,query,n_removed,baseline_loss,filtered_loss,loss_change
0,0,640,3.357654571533203,3.3579177856445312,0.000263214111328125
0,1,640,3.4585511684417725,3.4577441215515137,-0.0008070468902587891
0,2,640,3.351853370666504,3.3505055904388428,-0.0013477802276611328
0,3,640,2.920982837677002,2.9197537899017334,-0.0012290477752685547
0,4,640,2.7823903560638428,2.7823615074157715,-2.8848648071289062e-05
0,5,640,3.215150833129883,3.2141342163085938,-0.0010166168212890625
0,6,640,3.235599994659424,3.234208345413208,-0.0013916492462158203
1,0,640,3.357654571533203,3.3576371669769287,-1.7404556274414062e-05
1,1,640,3.4585511684417725,3.4570136070251465,-0.0015375614166259766
1,2,640,3.351853370666504,3.3512814044952393,-0.0005719661712646484
1,3,640,2.920982837677002,2.9206349849700928,-0.0003478527069091797
1,4,640,2.7823903560638428,2.7812445163726807,-0.0011458396911621094
1,5,640,3.215150833129883,3.215040445327759,-0.00011038780212402344
1,6,640,3.235599994659424,3.2359495162963867,0.0003495216369628906
2,0,640,3.357654571533203,3.357867956161499,0.00021338462829589844
2,1,640,3.4585511684417725,3.458494186401367,-5.698204040527344e-05
2,2,640,3.351853370666504,3.3511252403259277,-0.0007281303405761719
2,3,640,2.920982837677002,2.9221768379211426,0.001194000244140625
2,4,640,2.7823903560638428,2.7817223072052,-0.0006680488586425781
2,5,640,3.215150833129883,3.215212345123291,6.151199340820312e-05
2,6,640,3.235599994659424,3.234869956970215,-0.0007300376892089844
3,0,640,3.357654571533203,3.357412815093994,-0.00024175643920898438
3,1,640,3.4585511684417725,3.4587326049804688,0.00018143653869628906
3,2,640,3.351853370666504,3.3517191410064697,-0.0001342296600341797
3,3,640,2.920982837677002,2.919752597808838,-0.0012302398681640625
3,4,640,2.7823903560638428,2.78110933303833,-0.0012810230255126953
3,5,640,3.215150833129883,3.21551775932312,0.0003669261932373047
3,6,640,3.235599994659424,3.233896493911743,-0.001703500747680664
4,0,640,3.357654571533203,3.356860399246216,-0.0007941722869873047
4,1,640,3.4585511684417725,3.4598450660705566,0.0012938976287841797
4,2,640,3.351853370666504,3.35164213180542,-0.00021123886108398438
4,3,640,2.920982837677002,2.9213078022003174,0.0003249645233154297
4,4,640,2.7823903560638428,2.7834582328796387,0.0010678768157958984
4,5,640,3.215150833129883,3.214677095413208,-0.0004737377166748047
4,6,640,3.235599994659424,3.2347824573516846,-0.0008175373077392578
5,0,640,3.357654571533203,3.3571786880493164,-0.00047588348388671875
5,1,640,3.4585511684417725,3.4584577083587646,-9.34600830078125e-05
5,2,640,3.351853370666504,3.3504111766815186,-0.0014421939849853516
5,3,640,2.920982837677002,2.9211480617523193,0.0001652240753173828
5,4,640,2.7823903560638428,2.783071279525757,0.0006809234619140625
5,5,640,3.215150833129883,3.2145180702209473,-0.0006327629089355469
5,6,640,3.235599994659424,3.235668182373047,6.818771362304688e-05
6,0,640,3.357654571533203,3.3565285205841064,-0.0011260509490966797
6,1,640,3.4585511684417725,3.457293748855591,-0.0012574195861816406
6,2,640,3.351853370666504,3.3502089977264404,-0.0016443729400634766
