query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,40,0.047273874282836914,6.922086322447285e-05,0.00014488208398688585,3,1
1,40,0.08145666122436523,-3.178914312229608e-06,0.00024739099899306893,3,1
2,40,0.10425519943237305,3.234545511077158e-05,0.0001428334799129516,3,1
3,40,0.07446694374084473,0.0001380443572998047,0.00010070158168673515,3,1
4,40,0.07709312438964844,-0.00010236104571959004,0.00010624813148751855,3,1
5,40,0.12000203132629395,-2.5033950805664062e-05,0.0003385566524229944,3,1
6,40,0.0849306583404541,-7.947285666887183e-06,2.8268776077311486e-05,3,1
7,40,0.11321902275085449,0.0001259644777746871,0.0002765193348750472,3,1
8,40,0.0715491771697998,-9.044011676451191e-05,9.941177995642647e-05,3,1
9,40,0.1008613109588623,0.00015791256737429649,9.016426338348538e-05,3,1
10,40,0.10272955894470215,-4.5220058382255957e-05,3.057836147490889e-05,3,1
11,40,0.07886886596679688,-0.00021425883460324258,0.00021539760928135365,3,1
12,40,0.09562325477600098,-3.1312305509345606e-05,0.00010957955964840949,3,1
13,40,0.0420527458190918,0.00011889139568665996,0.00020504584244918078,3,1
14,40,0.06744813919067383,-5.825360494782217e-05,0.00024062239390332252,3,1
15,40,0.05108022689819336,-4.1802722989814356e-05,0.00020740942272823304,3,1
16,40,0.06229996681213379,2.066294428004767e-06,0.00019913108553737402,3,1
17,40,0.05922245979309082,1.3748805031355005e-05,0.00015497030108235776,3,1
18,40,0.08846449851989746,7.279714191099629e-05,0.00023608886112924665,3,1
19,40,0.10315251350402832,0.00013828277587890625,0.0003546574735082686,3,1
