subset,query,n_removed,baseline_loss,filtered_loss,loss_change
0,0,40,3.5169498920440674,3.5170702934265137,0.00012040138244628906
0,1,40,3.8510093688964844,3.850893974304199,-0.00011539459228515625
0,2,40,3.456754684448242,3.456948757171631,0.00019407272338867188
0,3,40,2.8292014598846436,2.8292908668518066,8.940696716308594e-05
0,4,40,2.418612003326416,2.418635368347168,2.3365020751953125e-05
1,0,40,3.5169498920440674,3.516674280166626,-0.00027561187744140625
1,1,40,3.8510093688964844,3.850898504257202,-0.00011086463928222656
1,2,40,3.456754684448242,3.456677198410034,-7.748603820800781e-05
1,3,40,2.8292014598846436,2.8290271759033203,-0.0001742839813232422
1,4,40,2.418612003326416,2.418468713760376,-0.00014328956604003906
2,0,40,3.5169498920440674,3.516981601715088,3.170967102050781e-05
2,1,40,3.8510093688964844,3.8512415885925293,0.00023221969604492188
2,2,40,3.456754684448242,3.4566824436187744,-7.224082946777344e-05
2,3,40,2.8292014598846436,2.829500675201416,0.00029921531677246094
2,4,40,2.418612003326416,2.4191503524780273,0.0005383491516113281
