query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.8999999999999998,0.03738607346849874,0.7724885750283405,0.12572809937596083,5,3.3697211742401123
1,0.6,0.28475697986529386,0.5092513291012762,0.38083288650221564,5,3.46679425239563
2,0.8999999999999998,0.03738607346849874,0.9603039589358886,0.009437384814469476,5,3.3768930435180664
3,0.3,0.623837664781073,0.9466697338012111,0.014665251203958228,5,2.9311611652374268
4,0.6,0.28475697986529386,0.8737922174126826,0.05279170647049919,5,2.7950735092163086
5,0.8999999999999998,0.03738607346849874,0.9996189431225674,8.928813231308678e-06,5,3.241042137145996
6,0.39999999999999997,0.5046315754686912,0.9694863466905432,0.0063690894151861655,5,3.242136240005493
7,0.8999999999999998,0.03738607346849874,0.8713803371725407,0.05429171258582277,5,3.2561166286468506
8,0.39999999999999997,0.5046315754686912,0.9406690011581481,0.017193055909023643,5,3.0056416988372803
9,0.49999999999999994,0.3910022189557703,0.902508861897587,0.03600198907755765,5,3.1984291076660156
10,0.8999999999999998,0.03738607346849874,0.7791459873320363,0.12037986147627562,5,3.3981692790985107
11,0.39999999999999997,0.5046315754686912,0.6356658377700037,0.24905471381402777,5,3.029141664505005
12,0.7,0.1881204043741873,0.6411875100676719,0.24364354762889562,5,3.2759265899658203
13,0.49999999999999994,0.3910022189557703,0.531723859576322,0.3564021664104819,5,3.7580151557922363
14,0.39999999999999997,0.5046315754686912,0.48112296725791914,0.4119459233736985,5,3.5745420455932617
15,0.09999999999999999,0.8728885715695384,0.5923604490672877,0.2925662448886638,5,3.5260398387908936
16,0.7,0.1881204043741873,0.7779932062947235,0.12130097009293815,5,3.869311571121216
17,0.7,0.1881204043741873,0.6483176017720825,0.23670420541091297,5,3.4822027683258057
18,0.49999999999999994,0.3910022189557703,0.6602572831955908,0.2252079068397999,5,2.842329978942871
19,0.6,0.28475697986529386,0.47496071569900467,0.4188373573044115,5,2.439209461212158
