draw,chain,step
0,0,105
1,0,110
2,0,115
3,0,120
4,0,125
5,0,130
6,0,135
7,0,140
8,0,145
9,0,150
10,0,155
11,0,160
12,0,165
13,0,170
14,0,175
15,0,180
16,0,185
17,0,190
18,0,195
19,0,200
20,0,205
21,0,210
22,0,215
23,0,220
24,0,225
25,0,230
26,0,235
27,0,240
28,0,245
29,0,250
30,0,255
31,0,260
32,0,265
33,0,270
34,0,275
35,0,280
36,0,285
37,0,290
38,0,295
39,0,300
40,0,305
41,0,310
42,0,315
43,0,320
44,0,325
45,0,330
46,0,335
47,0,340
48,0,345
49,0,350
50,0,355
51,0,360
52,0,365
53,0,370
54,0,375
55,0,380
56,0,385
57,0,390
58,0,395
59,0,400
60,0,405
61,0,410
62,0,415
63,0,420
64,0,425
65,0,430
66,0,435
67,0,440
68,0,445
69,0,450
70,0,455
71,0,460
72,0,465
73,0,470
74,0,475
75,0,480
76,0,485
77,0,490
78,0,495
79,0,500
80,0,505
81,0,510
82,0,515
83,0,520
84,0,525
85,0,530
86,0,535
87,0,540
88,0,545
89,0,550
90,0,555
91,0,560
92,0,565
93,0,570
94,0,575
95,0,580
96,0,585
97,0,590
98,0,595
99,0,600
100,0,605
101,0,610
102,0,615
103,0,620
104,0,625
105,0,630
106,0,635
107,0,640
108,0,645
109,0,650
110,0,655
111,0,660
112,0,665
113,0,670
114,0,675
115,0,680
116,0,685
117,0,690
118,0,695
119,0,700
120,0,705
121,0,710
122,0,715
123,0,720
124,0,725
125,0,730
126,0,735
127,0,740
128,0,745
129,0,750
130,0,755
131,0,760
132,0,765
133,0,770
134,0,775
135,0,780
136,0,785
137,0,790
138,0,795
139,0,800
140,0,805
141,0,810
142,0,815
143,0,820
144,0,825
145,0,830
146,0,835
147,0,840
148,0,845
149,0,850
150,0,855
151,0,860
152,0,865
153,0,870
154,0,875
155,0,880
156,0,885
157,0,890
158,0,895
159,0,900
160,0,905
161,0,910
162,0,915
163,0,920
164,0,925
165,0,930
166,0,935
167,0,940
168,0,945
169,0,950
170,0,955
171,0,960
172,0,965
173,0,970
174,0,975
175,0,980
176,0,985
177,0,990
178,0,995
179,0,1000
180,1,105
181,1,110
182,1,115
183,1,120
184,1,125
185,1,130
186,1,135
187,1,140
188,1,145
189,1,150
190,1,155
191,1,160
192,1,165
193,1,170
194,1,175
195,1,180
196,1,185
197,1,190
198,1,195
199,1,200
200,1,205
201,1,210
202,1,215
203,1,220
204,1,225
205,1,230
206,1,235
207,1,240
208,1,245
209,1,250
210,1,255
211,1,260
212,1,265
213,1,270
214,1,275
215,1,280
216,1,285
217,1,290
218,1,295
219,1,300
220,1,305
221,1,310
222,1,315
223,1,320
224,1,325
225,1,330
226,1,335
227,1,340
228,1,345
229,1,350
230,1,355
231,1,360
232,1,365
233,1,370
234,1,375
235,1,380
236,1,385
237,1,390
238,1,395
239,1,400
240,1,405
241,1,410
242,1,415
243,1,420
244,1,425
245,1,430
246,1,435
247,1,440
248,1,445
249,1,450
250,1,455
251,1,460
252,1,465
253,1,470
254,1,475
255,1,480
256,1,485
257,1,490
258,1,495
259,1,500
260,1,505
261,1,510
262,1,515
263,1,520
264,1,525
265,1,530
266,1,535
267,1,540
268,1,545
269,1,550
270,1,555
271,1,560
272,1,565
273,1,570
274,1,575
275,1,580
276,1,585
277,1,590
278,1,595
279,1,600
280,1,605
281,1,610
282,1,615
283,1,620
284,1,625
285,1,630
286,1,635
287,1,640
288,1,645
289,1,650
290,1,655
291,1,660
292,1,665
293,1,670
294,1,675
295,1,680
296,1,685
297,1,690
298,1,695
299,1,700
300,1,705
301,1,710
302,1,715
303,1,720
304,1,725
305,1,730
306,1,735
307,1,740
308,1,745
309,1,750
310,1,755
311,1,760
312,1,765
313,1,770
314,1,775
315,1,780
316,1,785
317,1,790
318,1,795
319,1,800
320,1,805
321,1,810
322,1,815
323,1,820
324,1,825
325,1,830
326,1,835
327,1,840
328,1,845
329,1,850
330,1,855
331,1,860
332,1,865
333,1,870
334,1,875
335,1,880
336,1,885
337,1,890
338,1,895
339,1,900
340,1,905
341,1,910
342,1,915
343,1,920
344,1,925
345,1,930
346,1,935
347,1,940
348,1,945
349,1,950
350,1,955
351,1,960
352,1,965
353,1,970
354,1,975
355,1,980
356,1,985
357,1,990
358,1,995
359,1,1000
360,2,105
361,2,110
362,2,115
363,2,120
364,2,125
365,2,130
366,2,135
367,2,140
368,2,145
369,2,150
370,2,155
371,2,160
372,2,165
373,2,170
374,2,175
375,2,180
376,2,185
377,2,190
378,2,195
379,2,200
380,2,205
381,2,210
382,2,215
383,2,220
384,2,225
385,2,230
386,2,235
387,2,240
388,2,245
389,2,250
390,2,255
391,2,260
392,2,265
393,2,270
394,2,275
395,2,280
396,2,285
397,2,290
398,2,295
399,2,300
400,2,305
401,2,310
402,2,315
403,2,320
404,2,325
405,2,330
406,2,335
407,2,340
408,2,345
409,2,350
410,2,355
411,2,360
412,2,365
413,2,370
414,2,375
415,2,380
416,2,385
417,2,390
418,2,395
419,2,400
420,2,405
421,2,410
422,2,415
423,2,420
424,2,425
425,2,430
426,2,435
427,2,440
428,2,445
429,2,450
430,2,455
431,2,460
432,2,465
433,2,470
434,2,475
435,2,480
436,2,485
437,2,490
438,2,495
439,2,500
440,2,505
441,2,510
442,2,515
443,2,520
444,2,525
445,2,530
446,2,535
447,2,540
448,2,545
449,2,550
