query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,80,0.012647390365600586,0.0004239082336425781,0.002297373255714774,3,1
1,80,0.00539708137512207,0.0001963774411706254,5.428426811704412e-05,3,1
2,80,0.008787155151367188,0.00043670335435308516,0.0004621206608135253,3,1
3,80,0.012736082077026367,0.0004007021489087492,0.0011845114640891552,3,1
4,80,0.016589641571044922,-1.7801919966586865e-05,0.0011562863364815712,3,1
5,80,0.0055999755859375,-0.00047206878662109375,0.0006822666036896408,3,1
6,80,0.009379148483276367,7.192293560365215e-05,0.0007960329530760646,3,1
7,80,0.002855539321899414,0.0002554257807787508,0.0007281849975697696,3,1
8,80,0.007315158843994141,-8.614858234068379e-05,0.0008215284906327724,3,1
9,80,0.011260509490966797,0.00040562948561273515,0.00018149986863136292,3,1
10,80,0.013883590698242188,1.4146168723527808e-05,0.0003817668475676328,3,1
11,80,0.0058939456939697266,3.115336221526377e-05,0.0012511542299762368,3,1
12,80,0.03158307075500488,-0.00015846888709347695,0.0003001958248205483,3,1
13,80,0.009138345718383789,0.0007170041208155453,0.0006908210925757885,3,1
14,80,0.012665748596191406,0.00023214022803585976,0.0004289545177016407,3,1
15,80,0.03616786003112793,0.0007561047677882016,0.0003646648256108165,3,1
16,80,0.004411220550537109,0.0001689593045739457,0.0010759534779936075,3,1
17,80,0.0063860416412353516,5.086262899567373e-05,0.0007875104784034193,3,1
18,80,0.012014627456665039,0.00029365220689214766,0.0010846410878002644,3,1
19,80,0.008061408996582031,0.0007060368661768734,0.0007201514672487974,3,1
