query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,40,-0.00048828125,-0.00012145280838012696,0.0010453354718232052,100,68
1,40,-0.00010704994201660156,-0.00028699398040771485,0.0009042187924503893,100,43
2,40,9.965896606445312e-05,-2.7265548706054687e-05,0.0012553257073440157,100,51
3,40,0.0006890296936035156,-0.00015801429748535156,0.0009516408245904929,100,17
4,40,0.00011897087097167969,-0.0001386117935180664,0.0012117289072139084,100,43
5,40,-0.000982046127319336,-0.0004964685440063477,0.001234469309157312,100,62
6,40,0.002739429473876953,-7.540702819824218e-05,0.0010040363874471863,100,1
7,40,0.0034284591674804688,-0.0002243804931640625,0.0012708710279892644,100,2
8,40,0.0008788108825683594,-0.0004664802551269531,0.001155041859091887,100,16
9,40,0.0014526844024658203,-0.00017922163009643556,0.0010048837786461302,100,7
10,40,-0.0006690025329589844,8.020401000976562e-05,0.0011194911217338272,100,77
11,40,0.0008091926574707031,-0.00027273893356323243,0.0014099602556622165,100,24
12,40,0.0010364055633544922,-0.0004277968406677246,0.000907614625606445,100,5
13,40,0.0007727146148681641,0.0005625009536743164,0.0015133833077999178,100,43
14,40,0.0007874965667724609,-0.00022975921630859374,0.0009672912096472646,100,12
15,40,0.00019288063049316406,-0.0001630377769470215,0.001819283320856632,100,46
16,40,-0.0005905628204345703,-9.127140045166015e-05,0.0009986561321074928,100,67
17,40,0.003571748733520508,-0.00060211181640625,0.0019555999703275923,100,1
18,40,-0.00016069412231445312,1.2662410736083984e-05,0.0014505408618618826,100,68
19,40,-0.0002384185791015625,-0.0003905320167541504,0.002114517989095387,100,53
