query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.0565338134765625,0.0014697170117869973,0.0011740479385480285,100,1
1,160,0.05687427520751953,0.000676436407957226,0.0012764671118929982,100,1
2,160,0.0859377384185791,0.00038607834721915424,0.0014297198504209518,100,1
3,160,0.06147265434265137,0.0003209137939848006,0.0013179485686123371,100,1
4,160,0.05637192726135254,5.57637213205453e-05,0.001019491464830935,100,1
5,160,0.07352828979492188,0.0014557790709659457,0.0013560946099460125,100,1
6,160,0.07017350196838379,0.0012987256050109863,0.0013459507608786225,100,1
7,160,0.07480669021606445,0.0016835213173180819,0.001458368613384664,100,1
8,160,0.06430983543395996,0.0002140188153134659,0.0012080658925697207,100,1
9,160,0.07102060317993164,0.0004245972668286413,0.0012969763483852148,100,1
10,160,0.07403779029846191,8.479833923047408e-05,0.0012942682951688766,100,1
11,160,0.10964250564575195,0.002394666662439704,0.0013466281816363335,100,1
12,160,0.10863757133483887,0.0012619281187653542,0.004822889342904091,100,1
13,160,0.05775165557861328,-0.0004655647207982838,0.0009882455924525857,100,1
14,160,0.048041582107543945,0.0027209282852709293,0.0009292212198488414,100,1
15,160,0.04500532150268555,0.0006849694182164967,0.0009442027076147497,100,1
16,160,0.04383397102355957,6.758928066119552e-05,0.0011174961691722274,100,1
17,160,0.045169830322265625,0.0037021373864263296,0.0009518081787973642,100,1
18,160,0.05993056297302246,0.0029579447582364082,0.0010540720541030169,100,1
19,160,0.09119486808776855,0.0028414535336196423,0.0012616381281986833,100,1
