subset,query,n_removed,baseline_loss,filtered_loss,loss_change
0,0,160,3.398008108139038,3.3997583389282227,0.0017502307891845703
0,1,160,3.5275416374206543,3.5275232791900635,-1.8358230590820312e-05
0,2,160,3.434554100036621,3.434908390045166,0.0003542900085449219
0,3,160,2.9997081756591797,3.00207781791687,0.0023696422576904297
0,4,160,2.8270888328552246,2.825578212738037,-0.0015106201171875
0,5,160,3.3356993198394775,3.337622880935669,0.0019235610961914062
0,6,160,3.322209596633911,3.323625326156616,0.0014157295227050781
0,7,160,3.3482539653778076,3.3499948978424072,0.0017409324645996094
0,8,160,3.0581541061401367,3.059701442718506,0.0015473365783691406
0,9,160,3.2790122032165527,3.279388189315796,0.00037598609924316406
0,10,160,3.482422351837158,3.48100209236145,-0.0014202594757080078
0,11,160,3.1049365997314453,3.107783794403076,0.0028471946716308594
0,12,160,3.3190739154815674,3.319180727005005,0.0001068115234375
0,13,160,3.80618953704834,3.805363416671753,-0.0008261203765869141
0,14,160,3.6390950679779053,3.6418023109436035,0.002707242965698242
0,15,160,3.567099094390869,3.568121910095215,0.0010228157043457031
0,16,160,3.9213218688964844,3.921473503112793,0.00015163421630859375
0,17,160,3.5119147300720215,3.515662908554077,0.003748178482055664
0,18,160,2.919949769973755,2.9228665828704834,0.0029168128967285156
0,19,160,2.520082950592041,2.5233683586120605,0.0032854080200195312
1,0,160,3.398008108139038,3.3989338874816895,0.0009257793426513672
1,1,160,3.5275416374206543,3.5288138389587402,0.0012722015380859375
1,2,160,3.434554100036621,3.4365499019622803,0.0019958019256591797
1,3,160,2.9997081756591797,2.9991819858551025,-0.0005261898040771484
1,4,160,2.8270888328552246,2.8278884887695312,0.0007996559143066406
1,5,160,3.3356993198394775,3.3388988971710205,0.0031995773315429688
1,6,160,3.322209596633911,3.3248260021209717,0.002616405487060547
1,7,160,3.3482539653778076,3.3514957427978516,0.0032417774200439453
1,8,160,3.0581541061401367,3.059185743331909,0.001031637191772461
1,9,160,3.2790122032165527,3.2799625396728516,0.0009503364562988281
1,10,160,3.482422351837158,3.4841301441192627,0.0017077922821044922
1,11,160,3.1049365997314453,3.1072142124176025,0.0022776126861572266
1,12,160,3.3190739154815674,3.3308017253875732,0.01172780990600586
1,13,160,3.80618953704834,3.8051412105560303,-0.0010483264923095703
1,14,160,3.6390950679779053,3.642578125,0.0034830570220947266
1,15,160,3.567099094390869,3.5673131942749023,0.00021409988403320312
1,16,160,3.9213218688964844,3.920844793319702,-0.00047707557678222656
1,17,160,3.5119147300720215,3.5142288208007812,0.0023140907287597656
1,18,160,2.919949769973755,2.9232616424560547,0.0033118724822998047
1,19,160,2.520082950592041,2.5227127075195312,0.0026297569274902344
2,0,160,3.398008108139038,3.399303436279297,0.001295328140258789
2,1,160,3.5275416374206543,3.527212142944336,-0.0003294944763183594
2,2,160,3.434554100036621,3.434490203857422,-6.389617919921875e-05
2,3,160,2.9997081756591797,3.000586986541748,0.0008788108825683594
2,4,160,2.8270888328552246,2.8271822929382324,9.34600830078125e-05
2,5,160,3.3356993198394775,3.337759256362915,0.0020599365234375
2,6,160,3.322209596633911,3.324277400970459,0.0020678043365478516
2,7,160,3.3482539653778076,3.349618673324585,0.0013647079467773438
2,8,160,3.0581541061401367,3.059110164642334,0.0009560585021972656
2,9,160,3.2790122032165527,3.280212640762329,0.0012004375457763672
2,10,160,3.482422351837158,3.480956792831421,-0.0014655590057373047
2,11,160,3.1049365997314453,3.109405755996704,0.004469156265258789
2,12,160,3.3190739154815674,3.3194477558135986,0.00037384033203125
2,13,160,3.80618953704834,3.806382656097412,0.00019311904907226562
2,14,160,3.6390950679779053,3.643625259399414,0.004530191421508789
2,15,160,3.567099094390869,3.5677707195281982,0.0006716251373291016
2,16,160,3.9213218688964844,3.9224159717559814,0.0010941028594970703
2,17,160,3.5119147300720215,3.5146799087524414,0.002765178680419922
2,18,160,2.919949769973755,2.923013925552368,0.0030641555786132812
2,19,160,2.520082950592041,2.5226125717163086,0.002529621124267578
3,0,160,3.398008108139038,3.3975110054016113,-0.0004971027374267578
3,1,160,3.5275416374206543,3.529362678527832,0.0018210411071777344
3,2,160,3.434554100036621,3.4354248046875,0.0008707046508789062
3,3,160,2.9997081756591797,2.999537467956543,-0.00017070770263671875
3,4,160,2.8270888328552246,2.8275184631347656,0.0004296302795410156
3,5,160,3.3356993198394775,3.3360791206359863,0.00037980079650878906
3,6,160,3.322209596633911,3.3237621784210205,0.001552581787109375
3,7,160,3.3482539653778076,3.3495616912841797,0.0013077259063720703
3,8,160,3.0581541061401367,3.058767795562744,0.0006136894226074219
