query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.9999999999999999,nan,1.0,1.0,2,3.39800763130188
1,0.9999999999999999,nan,1.0,1.0,2,3.527541160583496
2,0.9999999999999999,nan,1.0,1.0,2,3.434553384780884
3,0.9999999999999999,nan,1.0,1.0,2,2.9997076988220215
4,0.9999999999999999,nan,1.0,1.0,2,2.8270888328552246
5,0.9999999999999999,nan,1.0,1.0,2,3.3356993198394775
6,0.9999999999999999,nan,1.0,1.0,2,3.3222098350524902
7,0.9999999999999999,nan,1.0,1.0,2,3.3482539653778076
8,0.9999999999999999,nan,1.0,1.0,2,3.0581541061401367
9,0.9999999999999999,nan,1.0,1.0,2,3.2790122032165527
10,0.9999999999999999,nan,1.0,1.0,2,3.482422351837158
11,0.9999999999999999,nan,1.0,1.0,2,3.1049365997314453
12,-0.9999999999999999,nan,-1.0,1.0,2,3.3190739154815674
13,0.9999999999999999,nan,1.0,1.0,2,3.806189775466919
14,0.9999999999999999,nan,1.0,1.0,2,3.639094591140747
15,0.9999999999999999,nan,1.0,1.0,2,3.567098379135132
16,0.9999999999999999,nan,1.0,1.0,2,3.9213218688964844
17,0.9999999999999999,nan,1.0,1.0,2,3.5119149684906006
18,0.9999999999999999,nan,1.0,1.0,2,2.919949769973755
19,0.9999999999999999,nan,1.0,1.0,2,2.520082950592041
