query,n_removed,baseline_loss,filtered_loss,loss_change
0,160,3.428175926208496,3.4482290744781494,0.02005314826965332
1,160,3.5555038452148438,3.5733683109283447,0.017864465713500977
2,160,3.454657793045044,3.488440752029419,0.033782958984375
3,160,3.0164759159088135,3.0388433933258057,0.022367477416992188
4,160,2.860629081726074,2.880376100540161,0.019747018814086914
5,160,3.397306203842163,3.4265899658203125,0.029283761978149414
6,160,3.340529203414917,3.3687779903411865,0.02824878692626953
7,160,3.345658540725708,3.3777284622192383,0.03206992149353027
8,160,3.089233875274658,3.1122119426727295,0.02297806739807129
9,160,3.2881524562835693,3.3131625652313232,0.025010108947753906
10,160,3.5006909370422363,3.530531167984009,0.02984023094177246
11,160,3.217925548553467,3.2516071796417236,0.033681631088256836
12,160,3.3889057636260986,3.425577402114868,0.03667163848876953
13,160,3.8612558841705322,3.887340545654297,0.02608466148376465
14,160,3.6427597999572754,3.657562732696533,0.014802932739257812
15,160,3.561054229736328,3.5767321586608887,0.015677928924560547
16,160,3.949179172515869,3.9646289348602295,0.015449762344360352
17,160,3.6985726356506348,3.8685972690582275,0.17002463340759277
18,160,2.900456428527832,2.9156246185302734,0.015168190002441406
19,160,2.5109164714813232,2.5320208072662354,0.02110433578491211
