query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.46836624172500546,8.917390066207949e-07,0.5370789517042194,8.375300281013433e-09,100,3.443772792816162
1,0.7020702070207021,4.017505954788998e-16,0.7107260478608275,1.200492918856257e-16,100,3.562997817993164
2,0.5699489948994899,6.048463516914726e-10,0.6250871945604528,3.6164909475133135e-12,100,3.460599422454834
3,0.7087788778877887,1.5813718197120223e-16,0.7094611862761323,1.4361856956104717e-16,100,3.0343620777130127
4,0.7547637406686856,1.2037859800551268e-19,0.7896354369827729,1.6456156326798242e-22,100,2.8693337440490723
5,0.6997899789978997,5.483246154515204e-16,0.6858013922913492,3.4736026981144968e-15,100,3.3934638500213623
6,0.5167956795679568,3.702792943487447e-08,0.5365137501944472,8.741160735834399e-09,100,3.3561577796936035
7,0.71998799879988,3.135795507908184e-17,0.7261161006035319,1.2519575137095424e-17,100,3.3507280349731445
8,0.686012601260126,3.380710409286934e-15,0.7383802624453053,1.846445279437872e-18,100,3.102057695388794
9,0.34324632463246313,0.0004720100943701074,0.30423759469092887,0.0020879832739362216,100,3.317842483520508
10,0.5766696669666966,3.408408121304793e-10,0.6134533090538313,1.1573654848189274e-11,100,3.5332729816436768
11,0.7505078053811853,2.4968231313877995e-19,0.74343050192908,8.135876608235849e-19,100,3.319272994995117
12,0.6427122712271227,5.644601521743064e-13,0.6683731401667572,3.014231839054492e-14,100,3.4132680892944336
13,0.7102631571083786,1.2820303292556323e-16,0.7494560605770421,2.9833645237406218e-19,100,3.8508310317993164
14,0.7937473747374737,6.96465498864602e-23,0.7718865600610157,5.4641089280234646e-21,100,3.6756162643432617
15,0.8272152031696491,2.825433550556225e-26,0.7902926265467727,1.4361715334369504e-22,100,3.590604305267334
16,0.7429582958295827,8.790952102621116e-19,0.7382217198966889,1.8939897967564215e-18,100,3.9912352561950684
17,0.7619284786367285,3.406519682609808e-20,0.9608674361240519,1.9343531915635787e-56,100,3.838491439819336
18,0.744086408640864,7.304108960376197e-19,0.7695291715808984,8.496941418366186e-21,100,2.924678325653076
19,0.5945952433127372,6.915278021672088e-11,0.6642599935372421,4.9150867698339305e-14,100,2.5121335983276367
