query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.38181818181818183,0.2762553333854362,0.3011781581146596,0.3977516146035621,10,3.3543901443481445
1,0.5757575757575757,0.08155281477260244,0.4220938214395875,0.22433410745572605,10,3.459805965423584
2,0.5272727272727272,0.11730806555020232,0.5539925742902018,0.09658609334760351,10,3.347590208053589
3,0.18787878787878787,0.6032176100292089,0.315701404876365,0.37421476450664576,10,2.9243438243865967
4,0.709090909090909,0.02166592336753244,0.6720962383779626,0.03326821729081704,10,2.7717554569244385
5,0.7696969696969697,0.009221952722215994,0.9023891007909953,0.0003525098063541482,10,3.2167892456054688
6,0.09090909090909088,0.8027717312071619,0.890188248713498,0.0005561149480428,10,3.2354214191436768
7,0.06666666666666665,0.8548130882487427,0.9981699150776755,4.8967615255554665e-11,10,3.2416880130767822
8,0.2606060606060606,0.46708905438634024,0.7407279019519026,0.014258726429344658,10,2.9959774017333984
9,0.6363636363636362,0.04791172612997544,0.7817360276260431,0.007557572035778592,10,3.1722357273101807
10,0.6727272727272726,0.03304122254543772,0.6249854303133239,0.05334910760631912,10,3.3830459117889404
11,0.5636363636363636,0.0897240283170912,0.5433494544083497,0.10453645567133771,10,3.0346336364746094
12,0.6727272727272726,0.03304122254543772,0.9977512551157874,1.1157486920262843e-10,10,3.263718366622925
13,0.17575757575757575,0.6271883447764846,0.9931384242057902,9.618183952618106e-09,10,3.762305974960327
14,0.4545454545454545,0.18690481034933196,0.3221337182564323,0.364015601794782,10,3.5631439685821533
15,0.24848484848484845,0.4887763045192432,0.18092670858492169,0.6169259097619068,10,3.5188591480255127
16,0.7454545454545454,0.013330146315440054,0.7181708593193021,0.019318348878441836,10,3.8518972396850586
17,0.6606060606060605,0.03758837757140934,0.5510667274744694,0.09873201152434283,10,3.4547343254089355
18,-0.09090909090909088,0.8027717312071619,0.8020375976613829,0.005250853019970122,10,2.834122896194458
19,-0.09090909090909088,0.8027717312071619,0.9979328574518862,7.968600517788766e-11,10,2.4217679500579834
