query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.7001821187613835,5.198734762987999e-16,0.7457575152550323,5.541034591077375e-19,100,3.4363062381744385
1,0.8015121512151214,1.3004948524992649e-23,0.8033045932745565,8.735444130453178e-24,100,3.5646183490753174
2,0.6864686468646863,3.188272579738498e-15,0.7400220071344004,1.4175284289039195e-18,100,3.4649734497070312
3,0.8547614761476147,1.1479206609099278e-29,0.8510086881956751,3.643737703179496e-29,100,3.033883571624756
4,0.7601440144014401,4.684295416067609e-20,0.769981462508188,7.810003422322262e-21,100,2.8682241439819336
5,0.8180018001800178,2.842833124087113e-25,0.8456539211654647,1.7945710237559044e-28,100,3.4136059284210205
6,0.753015301530153,1.6273872071690271e-19,0.7533374794350955,1.539730951964195e-19,100,3.3630778789520264
7,0.6814001842220414,6.079307945797796e-15,0.7583323937972496,6.454429301535267e-20,100,3.3646600246429443
8,0.7948634863486348,5.49637066534135e-23,0.7965617508579141,3.822922725051466e-23,100,3.1021389961242676
9,0.714035403540354,7.476335999864401e-17,0.718977039117987,3.640126918210995e-17,100,3.3000175952911377
10,0.8262946294629462,3.5802143965033365e-26,0.8485036920361521,7.740839992900259e-29,100,3.5178098678588867
11,0.7384060558270733,1.8388207222674143e-18,0.8430631730164677,3.798378540822888e-28,100,3.2561495304107666
12,0.7600202820924759,4.7884121369742774e-20,0.7869322631020789,2.866249426715247e-22,100,3.4145238399505615
13,0.6955856453245989,9.656250947009736e-16,0.745003751020887,6.278014497813315e-19,100,3.880302667617798
14,0.7928112811281127,8.4850072713404e-23,0.8217863861824191,1.119114258055075e-25,100,3.653571605682373
15,0.836027602760276,2.7226687887015866e-27,0.8469341219004248,1.232633183844021e-28,100,3.57181453704834
16,0.7267806780678067,1.1316153272780539e-17,0.7643951604064275,2.1831649889607577e-20,100,3.9701998233795166
17,0.944182418241824,4.672287256303211e-49,0.9789384576539518,1.9519811336885445e-69,100,3.7166872024536133
18,0.8036147723251661,8.150753300278278e-24,0.9084157028946961,6.73325859280651e-39,100,2.903649091720581
19,0.7362256225622562,2.6044211596549797e-18,0.8492821189301792,6.133862823433741e-29,100,2.512798547744751
