subset,query,n_removed,baseline_loss,filtered_loss,loss_change
0,0,800,3.1976213455200195,3.197619915008545,-1.430511474609375e-06
0,1,800,3.238173246383667,3.237090826034546,-0.0010824203491210938
0,2,800,2.858422040939331,2.8532111644744873,-0.00521087646484375
0,3,800,3.143416166305542,3.1412017345428467,-0.0022144317626953125
1,0,800,3.1976213455200195,3.213474988937378,0.0158536434173584
1,1,800,3.238173246383667,3.2450809478759766,0.00690770149230957
1,2,800,2.858422040939331,2.865039110183716,0.006617069244384766
1,3,800,3.143416166305542,3.1464014053344727,0.002985239028930664
2,0,800,3.1976213455200195,3.1987204551696777,0.0010991096496582031
2,1,800,3.238173246383667,3.2356462478637695,-0.002526998519897461
2,2,800,2.858422040939331,2.8553881645202637,-0.003033876419067383
2,3,800,3.143416166305542,3.1443705558776855,0.0009543895721435547
