query,n_removed,baseline_loss,filtered_loss,loss_change
0,160,3.110261917114258,3.1142613887786865,0.003999471664428711
1,160,2.718717575073242,2.7286293506622314,0.009911775588989258
2,160,2.5895192623138428,2.5821356773376465,-0.007383584976196289
3,160,2.642245292663574,2.6404850482940674,-0.001760244369506836
4,160,2.6259634494781494,2.614978313446045,-0.010985136032104492
5,160,1.4580719470977783,1.4586595296859741,0.0005875825881958008
6,160,3.7380290031433105,3.7399661540985107,0.0019371509552001953
7,160,3.3652732372283936,3.3563358783721924,-0.008937358856201172
8,160,2.138516426086426,2.1181130409240723,-0.020403385162353516
9,160,1.9362514019012451,1.9337677955627441,-0.0024836063385009766
10,160,2.1997580528259277,2.1861486434936523,-0.01360940933227539
11,160,3.15171217918396,3.162808656692505,0.011096477508544922
12,160,3.192643880844116,3.205247163772583,0.012603282928466797
13,160,3.244292736053467,3.242727756500244,-0.0015649795532226562
14,160,2.8612282276153564,2.8570828437805176,-0.004145383834838867
15,160,3.139991283416748,3.1449506282806396,0.0049593448638916016
16,160,2.6024179458618164,2.595445156097412,-0.006972789764404297
17,160,3.1059515476226807,3.101332187652588,-0.0046193599700927734
18,160,2.1168103218078613,2.112416982650757,-0.004393339157104492
19,160,2.295846700668335,2.289461374282837,-0.006385326385498047
