query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.003999471664428711,-0.0035034815470377603,0.002016895615687769,3,1
1,160,0.009911775588989258,0.01380459467569987,0.012648451011962152,3,3
2,160,-0.007383584976196289,0.0075368086496988935,0.0036332365809504242,3,4
3,160,-0.001760244369506836,0.0010194778442382812,0.0018606270691411118,3,4
4,160,-0.010985136032104492,0.004852771759033203,0.004677678909541359,3,4
5,160,0.0005875825881958008,-0.004184444745381673,0.006105344440997911,3,2
6,160,0.0019371509552001953,-0.0034482479095458984,0.005287733533323619,3,2
7,160,-0.008937358856201172,0.005302111307779948,0.0014467258501553624,3,4
8,160,-0.020403385162353516,0.011289437611897787,0.0054962458774555,3,4
9,160,-0.0024836063385009766,0.0009107589721679688,0.007409613300104985,3,2
10,160,-0.01360940933227539,-0.0008313655853271484,0.002680421837812255,3,4
11,160,0.011096477508544922,-0.009623448053995768,0.011082269583574738,3,1
12,160,0.012603282928466797,-0.009322802225748697,0.011239526674325939,3,1
13,160,-0.0015649795532226562,0.00484617551167806,0.0018456034772579846,3,4
14,160,-0.004145383834838867,0.007180849711100261,0.005524121661866842,3,4
15,160,0.0049593448638916016,-0.0031085809071858725,0.0019621368209567884,3,1
16,160,-0.006972789764404297,-0.0024552345275878906,0.0015360414261951232,3,4
17,160,-0.0046193599700927734,0.008980989456176758,0.0056392531590582,3,4
18,160,-0.004393339157104492,0.006036678949991862,0.0025259813790106662,3,4
19,160,-0.006385326385498047,0.006550232569376628,0.003653277029602934,3,4
