query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,320,0.019136667251586914,-0.002277453662827611,0.00389656238257885,3,1
1,320,0.03809523582458496,0.0030574798583984375,0.010690825991332531,3,1
2,320,0.018196582794189453,-0.0041750273667275906,0.002362326253205538,3,1
3,320,0.029831886291503906,0.005340576171875,0.01157380174845457,3,1
4,320,0.0334773063659668,0.001966317417100072,0.003490639617666602,3,1
5,320,0.04077601432800293,0.004902243614196777,0.0033908539917320013,3,1
6,320,0.022464513778686523,-0.001404364942573011,0.0038587262388318777,3,1
7,320,0.02482295036315918,0.0014886060962453485,0.005164964124560356,3,1
8,320,0.02310323715209961,0.003222862957045436,0.0008238472510129213,3,1
9,320,0.04077303409576416,0.013173460960388184,0.006031541619449854,3,1
10,320,0.017476320266723633,-0.010125796310603619,0.0023450988810509443,3,1
11,320,0.02647542953491211,-0.0019245147705078125,0.005631266627460718,3,1
12,320,0.016103744506835938,-0.005716721061617136,0.01083407923579216,3,1
13,320,0.01999211311340332,-0.004464626312255859,0.0005179416621103883,3,1
14,320,0.021094799041748047,0.006936152931302786,0.002759606810286641,3,1
15,320,0.027599573135375977,-0.00038051605224609375,0.006038684863597155,3,1
16,320,0.022323131561279297,0.0013953050365671515,0.0025521565694361925,3,1
17,320,0.017464637756347656,0.001153707504272461,0.0049529364332556725,3,1
18,320,0.05536389350891113,0.002876758575439453,0.0039670225232839584,3,1
19,320,0.03068828582763672,-0.00170024239923805,0.0012482987949624658,3,1
