query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,nan,nan,nan,nan,3,3.120572328567505
1,nan,nan,nan,nan,3,2.676642656326294
2,nan,nan,nan,nan,3,2.5621705055236816
3,nan,nan,nan,nan,3,2.6562600135803223
4,nan,nan,nan,nan,3,2.7402236461639404
5,nan,nan,nan,nan,3,1.5459632873535156
6,nan,nan,nan,nan,3,3.7459256649017334
7,nan,nan,nan,nan,3,3.367612361907959
8,nan,nan,nan,nan,3,2.194915771484375
9,nan,nan,nan,nan,3,2.0131187438964844
10,nan,nan,nan,nan,3,2.209726333618164
11,nan,nan,nan,nan,3,3.1590781211853027
12,nan,nan,nan,nan,3,3.2198150157928467
13,nan,nan,nan,nan,3,3.2382771968841553
14,nan,nan,nan,nan,3,2.859589099884033
15,nan,nan,nan,nan,3,3.1467785835266113
16,nan,nan,nan,nan,3,2.592302083969116
17,nan,nan,nan,nan,3,3.069030284881592
18,nan,nan,nan,nan,3,2.1769890785217285
19,nan,nan,nan,nan,3,2.2982089519500732
