query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,200,0.01796245574951172,-0.0015826225280761719,0.010199327953159809,3,1
1,200,0.025194168090820312,2.8212865800014697e-05,0.002939994679763913,3,1
2,200,0.019335031509399414,-0.0024940967559814453,0.005305897444486618,3,1
3,200,0.03728842735290527,0.007219711784273386,0.006805106531828642,3,1
4,200,0.08693623542785645,-0.00502324104309082,0.013591967523097992,3,1
5,200,0.16098415851593018,-0.008155385963618755,0.007432505488395691,3,1
6,200,0.02914118766784668,-0.007985989563167095,0.004345098976045847,3,1
7,200,0.021103382110595703,-0.015245120041072369,0.0023718075826764107,3,1
8,200,0.02353668212890625,0.0048412480391561985,0.007156570442020893,3,1
9,200,0.04345691204071045,-0.007189472671598196,0.0027910787612199783,3,1
10,200,0.0633096694946289,0.0013658205280080438,0.010703650303184986,3,1
11,200,0.02444148063659668,0.003552595851942897,0.002005829242989421,3,1
12,200,0.022771835327148438,0.005104621406644583,0.024014320224523544,3,2
13,200,0.029660701751708984,0.004440784454345703,0.003627972211688757,3,1
14,200,0.028594493865966797,0.007101377006620169,0.002117391675710678,3,1
15,200,0.03100895881652832,-0.0011524358997121453,0.0047594704665243626,3,1
16,200,0.027067899703979492,-0.0019341310253366828,0.0022148226853460073,3,1
17,200,0.028744220733642578,0.003693024395033717,0.0026962223928421736,3,1
18,200,0.10837268829345703,0.007995684631168842,0.0012744959676638246,3,1
19,200,0.057463884353637695,-0.005460023880004883,0.0024666059762239456,3,1
