subset,query,n_removed,baseline_loss,filtered_loss,loss_change
0,0,40,3.1062252521514893,3.106367588043213,0.0001423358917236328
0,1,40,2.664396047592163,2.6642496585845947,-0.00014638900756835938
0,2,40,2.55714750289917,2.5570311546325684,-0.0001163482666015625
0,3,40,2.6468300819396973,2.6467087268829346,-0.00012135505676269531
1,0,40,3.1062252521514893,3.1057279109954834,-0.0004973411560058594
1,1,40,2.664396047592163,2.6643741130828857,-2.193450927734375e-05
1,2,40,2.55714750289917,2.557021379470825,-0.00012612342834472656
1,3,40,2.6468300819396973,2.6468656063079834,3.552436828613281e-05
2,0,40,3.1062252521514893,3.106447458267212,0.00022220611572265625
2,1,40,2.664396047592163,2.664243459701538,-0.000152587890625
2,2,40,2.55714750289917,2.5570695400238037,-7.796287536621094e-05
2,3,40,2.6468300819396973,2.6469829082489014,0.00015282630920410156
