query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,40,0.0015261173248291016,-0.008354823105037212,0.004612820688635111,3,1
1,40,0.0007581710815429688,-0.004064003471285105,0.007380649913102388,3,2
2,40,0.005724906921386719,-0.0051991939544677734,0.005714461673051119,3,1
3,40,0.029535293579101562,0.005488157272338867,0.007263856939971447,3,1
4,40,0.06948685646057129,-0.0007458527688868344,0.0003559683100320399,3,1
5,40,0.07531595230102539,-0.0026826858520507812,0.0076201120391488075,3,1
6,40,-0.0008587837219238281,-0.011890172958374023,0.004457796458154917,3,1
7,40,0.003923177719116211,-0.005202452186495066,0.006377537734806538,3,1
8,40,0.01896834373474121,-0.004347959998995066,0.002100724494084716,3,1
9,40,-0.002633213996887207,-0.008244991302490234,0.008517236448824406,3,2
10,40,0.016016006469726562,0.010758240707218647,0.006162215489894152,3,1
11,40,0.014321327209472656,-0.0028437774162739515,0.005582793150097132,3,1
12,40,0.004428863525390625,-0.0007055600290186703,0.010609465651214123,3,2
13,40,0.01257634162902832,-0.0006721814279444516,0.0015004861634224653,3,1
14,40,0.007243156433105469,-0.0010492801666259766,0.0059738787822425365,3,1
15,40,0.012959003448486328,-0.0057729086838662624,0.0028742384165525436,3,1
16,40,0.010147571563720703,-0.0014608701458200812,0.002416921779513359,3,1
17,40,0.0182955265045166,0.013279597274959087,0.010265786200761795,3,3
18,40,0.07655668258666992,0.006857156753540039,0.005308764521032572,3,1
19,40,0.03245663642883301,-0.0018536249408498406,0.004994713235646486,3,1
