subset,query,n_removed,baseline_loss,filtered_loss,loss_change
0,0,80,3.1158533096313477,3.129992961883545,0.014139652252197266
0,1,80,2.7070844173431396,2.7032523155212402,-0.003832101821899414
0,2,80,2.567183256149292,2.5770962238311768,0.009912967681884766
0,3,80,2.6530869007110596,2.658269166946411,0.0051822662353515625
0,4,80,2.6605262756347656,2.646430015563965,-0.014096260070800781
0,5,80,1.4887518882751465,1.487845540046692,-0.0009063482284545898
0,6,80,3.7383081912994385,3.736086130142212,-0.0022220611572265625
0,7,80,3.344118595123291,3.352098226547241,0.007979631423950195
0,8,80,2.138673782348633,2.1323940753936768,-0.006279706954956055
0,9,80,1.9385191202163696,1.9477877616882324,0.009268641471862793
0,10,80,2.2058792114257812,2.2124929428100586,0.006613731384277344
0,11,80,3.1831252574920654,3.1763432025909424,-0.006782054901123047
0,12,80,3.2253949642181396,3.2218470573425293,-0.0035479068756103516
0,13,80,3.250439167022705,3.2499332427978516,-0.0005059242248535156
0,14,80,2.864725351333618,2.8554136753082275,-0.009311676025390625
0,15,80,3.1421549320220947,3.1372437477111816,-0.004911184310913086
0,16,80,2.6027543544769287,2.5963706970214844,-0.006383657455444336
0,17,80,3.1032960414886475,3.103466510772705,0.0001704692840576172
0,18,80,2.1350066661834717,2.1335785388946533,-0.0014281272888183594
0,19,80,2.3101346492767334,2.3041365146636963,-0.005998134613037109
1,0,80,3.1158533096313477,3.1248857975006104,0.009032487869262695
1,1,80,2.7070844173431396,2.706077814102173,-0.0010066032409667969
1,2,80,2.567183256149292,2.572683095932007,0.005499839782714844
1,3,80,2.6530869007110596,2.6572632789611816,0.00417637825012207
1,4,80,2.6605262756347656,2.6521716117858887,-0.008354663848876953
1,5,80,1.4887518882751465,1.496775507926941,0.008023619651794434
1,6,80,3.7383081912994385,3.7443337440490723,0.006025552749633789
1,7,80,3.344118595123291,3.344972848892212,0.0008542537689208984
1,8,80,2.138673782348633,2.1334714889526367,-0.005202293395996094
1,9,80,1.9385191202163696,1.9449645280838013,0.006445407867431641
1,10,80,2.2058792114257812,2.205518960952759,-0.00036025047302246094
1,11,80,3.1831252574920654,3.1835761070251465,0.0004508495330810547
1,12,80,3.2253949642181396,3.2130508422851562,-0.012344121932983398
1,13,80,3.250439167022705,3.246716022491455,-0.00372314453125
1,14,80,2.864725351333618,2.863279342651367,-0.0014460086822509766
1,15,80,3.1421549320220947,3.130915880203247,-0.011239051818847656
1,16,80,2.6027543544769287,2.601732015609741,-0.0010223388671875
1,17,80,3.1032960414886475,3.1123180389404297,0.009021997451782227
1,18,80,2.1350066661834717,2.1275057792663574,-0.007500886917114258
1,19,80,2.3101346492767334,2.300995111465454,-0.009139537811279297
2,0,80,3.1158533096313477,3.127087354660034,0.011234045028686523
2,1,80,2.7070844173431396,2.707432508468628,0.00034809112548828125
2,2,80,2.567183256149292,2.577450752258301,0.010267496109008789
2,3,80,2.6530869007110596,2.6385438442230225,-0.01454305648803711
2,4,80,2.6605262756347656,2.653578758239746,-0.006947517395019531
2,5,80,1.4887518882751465,1.4899674654006958,0.0012155771255493164
2,6,80,3.7383081912994385,3.7314324378967285,-0.006875753402709961
2,7,80,3.344118595123291,3.3507370948791504,0.006618499755859375
2,8,80,2.138673782348633,2.1304805278778076,-0.008193254470825195
2,9,80,1.9385191202163696,1.9411041736602783,0.0025850534439086914
2,10,80,2.2058792114257812,2.2055914402008057,-0.00028777122497558594
2,11,80,3.1831252574920654,3.1753861904144287,-0.007739067077636719
2,12,80,3.2253949642181396,3.208803653717041,-0.016591310501098633
2,13,80,3.250439167022705,3.2452220916748047,-0.005217075347900391
2,14,80,2.864725351333618,2.855625867843628,-0.009099483489990234
2,15,80,3.1421549320220947,3.1350350379943848,-0.007119894027709961
2,16,80,2.6027543544769287,2.5974104404449463,-0.005343914031982422
2,17,80,3.1032960414886475,3.116143226623535,0.012847185134887695
2,18,80,2.1350066661834717,2.1320383548736572,-0.002968311309814453
2,19,80,2.3101346492767334,2.3058149814605713,-0.004319667816162109
