query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.028670072555541992,-0.00012545585923362523,0.0009416589164175093,100,1
1,160,0.032663583755493164,3.341913179610856e-05,0.0011967866448685527,100,1
2,160,0.05602836608886719,0.0002611613308545202,0.00129038468003273,100,1
3,160,0.036754608154296875,0.0002501368580851704,0.0013472953578457236,100,1
4,160,0.033766984939575195,5.758046972914599e-05,0.0009879727149382234,100,1
5,160,0.04799365997314453,0.0003735804639291018,0.0012182729551568627,100,1
6,160,0.04285097122192383,9.771346958586946e-05,0.0012178339529782534,100,1
7,160,0.055434226989746094,0.00027449370827525854,0.001330654718913138,100,1
8,160,0.03844714164733887,0.00016334294923581183,0.0010701832361519337,100,1
9,160,0.04385232925415039,0.00014675855345558375,0.001103149726986885,100,1
10,160,0.04844236373901367,0.0003127837262582034,0.0010818821610882878,100,1
11,160,0.07863187789916992,0.00043470144737511873,0.0012942826142534614,100,1
12,160,0.06702446937561035,0.0007881593774072826,0.0030040768906474113,100,1
13,160,0.03002023696899414,0.00023680925369262695,0.0010230425978079438,100,1
14,160,0.023951292037963867,7.56978988647461e-05,0.0009286106214858592,100,1
15,160,0.022086620330810547,0.00020511866023298353,0.0008516172529198229,100,1
16,160,0.022111892700195312,0.00043930529500357807,0.0010599297238513827,100,1
17,160,0.2771763801574707,0.000747036945540458,0.002491891384124756,100,1
18,160,0.030502796173095703,-8.290767436847091e-05,0.0009588808170519769,100,1
19,160,0.04128456115722656,-0.00014935970830265433,0.001183739397674799,100,1
