query,n_removed,baseline_loss,filtered_loss,loss_change
0,160,2.8603265285491943,2.888761520385742,0.02843499183654785
1,160,2.9381182193756104,2.9649078845977783,0.02678966522216797
2,160,2.836435317993164,2.853893518447876,0.017458200454711914
3,160,2.8633475303649902,2.902207136154175,0.03885960578918457
4,160,3.4192628860473633,3.447465658187866,0.02820277214050293
5,160,3.124162197113037,3.15268611907959,0.028523921966552734
6,160,3.6991565227508545,3.719558000564575,0.020401477813720703
7,160,3.71581768989563,3.73183274269104,0.016015052795410156
8,160,3.753380298614502,3.7711024284362793,0.017722129821777344
9,160,3.510023355484009,3.539212942123413,0.029189586639404297
10,160,3.374248743057251,3.3987488746643066,0.024500131607055664
11,160,2.7420074939727783,2.7658936977386475,0.02388620376586914
12,160,3.133234739303589,3.1827852725982666,0.049550533294677734
13,160,3.37815523147583,3.3967177867889404,0.01856255531311035
14,160,3.386932611465454,3.419499635696411,0.03256702423095703
15,160,3.107529640197754,3.1896939277648926,0.08216428756713867
16,160,3.374903440475464,3.397047281265259,0.022143840789794922
17,160,3.4857232570648193,3.509925365447998,0.02420210838317871
18,160,3.6362626552581787,3.66023850440979,0.023975849151611328
19,160,3.9670302867889404,3.99863862991333,0.03160834312438965
