query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.014196395874023438,-2.749761006271001e-05,0.0006664860411547124,3,1
1,160,0.013620853424072266,-0.0008499622344970703,0.001322346506640315,3,1
2,160,0.03784775733947754,0.0001753966062096879,0.0006734149646945298,3,1
3,160,0.01665663719177246,0.0002667109074536711,0.0005745031521655619,3,1
4,160,0.012328147888183594,-0.00046022734022699296,0.000828513060696423,3,1
5,160,0.021300792694091797,0.0007741451263427734,0.0003527018416207284,3,1
6,160,0.009447813034057617,0.00016498565673828125,0.0010509606217965484,3,1
7,160,0.012879133224487305,0.000591834366787225,0.0003040670999325812,3,1
8,160,0.016840457916259766,0.0004436969757080078,0.000519182241987437,3,1
9,160,0.00826120376586914,0.00016156832862179726,0.0003126881492789835,3,1
10,160,0.013908863067626953,-0.0002841949462890625,0.0006376985111273825,3,1
11,160,0.05461716651916504,0.0010035037994384766,0.001384475501254201,3,1
12,160,0.053707122802734375,0.0022471745032817125,0.0038985556457191706,3,1
13,160,0.01051187515258789,0.0004111131129320711,0.00029073015321046114,3,1
14,160,-0.002112150192260742,0.0007371107931248844,0.0006627256516367197,3,4
15,160,0.007248401641845703,-0.0005136330728419125,0.0006284494884312153,3,1
16,160,0.004323005676269531,0.0008476575021632016,0.0007790816016495228,3,1
17,160,0.0011477470397949219,0.00048510232591070235,0.0023750821128487587,3,2
18,160,0.001596212387084961,0.00032750764512456954,0.00010953260789392516,3,1
19,160,0.001580953598022461,-0.0005066394805908203,0.0007182986591942608,3,1
