query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.06473088264465332,-0.00012545585923362523,0.0009416589164175093,100,1
1,160,0.06258535385131836,3.34262840624433e-05,0.0011967787286266685,100,1
2,160,0.10863828659057617,0.0002611613308545202,0.001290391432121396,100,1
3,160,0.09331655502319336,0.00025012492551468313,0.001347285695374012,100,1
4,160,0.075225830078125,5.7578086853027344e-05,0.000987980398349464,100,1
5,160,0.08599066734313965,0.00037356853135861456,0.0012182720238342881,100,1
6,160,0.07094907760620117,9.769677853910252e-05,0.001217865152284503,100,1
7,160,0.09846615791320801,0.0002745127712842077,0.0013306839391589165,100,1
8,160,0.07392287254333496,0.0001633262581890449,0.001070189056918025,100,1
9,160,0.07502579689025879,0.0001467752445023507,0.0011031441390514374,100,1
10,160,0.08373069763183594,0.000313503755023703,0.0010818337323144078,100,1
11,160,0.10952877998352051,0.0004344797052908689,0.0012942668981850147,100,1
12,160,0.08874964714050293,0.0007881117053329945,0.0030041011050343513,100,1
13,160,0.07117819786071777,0.00023679494915995747,0.0010230197804048657,100,1
14,160,0.06339287757873535,7.565736450487748e-05,0.0009286658023484051,100,1
15,160,0.08327126502990723,0.00020519018289633095,0.0008516838424839079,100,1
16,160,0.06008434295654297,0.0004392957780510187,0.0010599454399198294,100,1
17,160,0.29790616035461426,0.0007470273994840682,0.002491875784471631,100,1
18,160,0.0640566349029541,-8.290529513033107e-05,0.0009588490356691182,100,1
19,160,0.08730006217956543,-0.00014937162632122636,0.0011837385827675462,100,1
